"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","mean.x","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","AnnualPre","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y","ratio"
"1","Aheden unmanaged","Schulze_2000_tcan",180,92,"Aheden","unmanaged","woody","2TDB","ANPP_1","1995",NA,NA,1.25,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,"9","Europe","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,TRUE,1.4,8.9,93.04,36.1,582,26,65.50826023,214.3545614,443.4614035,176.9464035,0.062416666,312736,9763,593,0.251944444,"boreal","ANPP_2","1995",NA,NA,1.87,0.668449197860963
"2","Andersby Angsbackar Site 3","DeAngelis_1981_pofe",120,20304,"Andersby Angsbackar","Site 3","woody","2TDB","ANPP_1","1970","1968","1973",2.773,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",60,17,30,5.5,566,"NAC","Europe","Dfb","Temperate continental forest","NAC","1850","Initiation of post-disturbance cohort (planted or natural)","1850","NAC","NAC",0,0,0,TRUE,5.2,7.6,76.24,29.5,589,30,65.57675439,160.2990351,527.0061404,160.1968421,0.075583334,350679.2,8461,732,0.298625,"temperate","ANPP_2","1970","1968","1973",3.384,0.819444444444445
"3","Andrews 10 unmanaged","Luyssaert_2007_cbob",552,362,"Andrews 10","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.4,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_2","2001",NA,NA,3.76,0.904255319148936
"4","Andrews 11 unmanaged","Luyssaert_2007_cbob",795,386,"Andrews 11","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,5.54,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,TRUE,7.3,12.5,58.75,29.3,1828,65,66.29217836,159.637193,806.972807,123.8908772,0.071666666,509053.6,13873,1208,0.581194444,"temperate","ANPP_2","2001",NA,NA,6.29,0.880763116057234
"5","Andrews 12 unmanaged","Luyssaert_2007_cbob",629,410,"Andrews 12","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.53,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,TRUE,7.1,12.3,58.48,29.1,1871,65,66.29217836,159.637193,806.972807,123.8908772,0.071583333,507234.4,14234,1210,0.579680556,"temperate","ANPP_2","2001",NA,NA,4.09,0.863080684596577
"6","Ashu Kyoto unmanaged","DeAngelis_1981_pofe",150,20300,"Ashu Kyoto","unmanaged","woody","2TDB","ANPP_1","1966",NA,NA,4.4744,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Japan",35.33,135.75,680,11.3,2788,"46","Asia","Cfa","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,TRUE,10.1,7.4,83.99,30.7,2043,34,71.53026316,89.23754386,840.2710526,237.0954386,0.111416667,464044.9,20083,989,0.374194444,"temperate","ANPP_2","1966",NA,NA,2.2325,2.00421052631579
"7","Banco plateau Mature","DeAngelis_1981_pofe",999,20298,"Banco plateau","Mature","woody","2TEB","ANPP_1","1970","1966","1974",6.4484,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Cote D'Ivoire",5.38,-4.03,100,26.2,2095,"60","Africa","Aw","Tropical rainforest","5","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,26.1,7.4,10.93,11,1774,85,74.44883041,0,1161.45614,137.3528947,0.290916667,628808.9,11033,1538,0.653819444,"tropical","ANPP_2","1970","1966","1974",7.661,0.841717791411043
"8","Battle Ax 5 unmanaged","Luyssaert_2007_cbob",154,1290,"Battle Ax 5","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,1.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.836,-122.2246,1027,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1847","Initiation of post-disturbance cohort (natural)","1847","NAC","NAC",0,0,0,TRUE,7.2,10.3,52.45,25.1,2306,63,68.79429825,160.3940351,747.9245614,133.4398246,0.071166667,490119.2,19783,1131,0.501847222,"temperate","ANPP_2","2001",NA,NA,1.99,0.733668341708543
"9","Battle Ax 6 unmanaged","Luyssaert_2007_cbob",67,1300,"Battle Ax 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.4,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.8386,-122.2342,987,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1934","Initiation of post-disturbance cohort (natural)","1934","NAC","NAC",0,0,0,TRUE,6.5,10.1,52.37,24.9,2378,63,68.79429825,160.3940351,747.9245614,133.4398246,0.068500001,489987,20471,1129,0.501847222,"temperate","ANPP_2","2001",NA,NA,2.75,1.23636363636364
"10","Big Butte Springs 2 unmanaged","Luyssaert_2007_cbob",71,1504,"Big Butte Springs 2","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,2.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.586,-122.4478,931,NA,NA,"74","North America","Csb","Temperate mountain system","NAC","1930","Initiation of post-disturbance cohort (natural)","1930","NAC","NAC",0,0,0,TRUE,9,15.4,61,32.8,887,63,62.42207602,197.4075439,876.6719298,112.9767544,0.073416666,549296.2,6244,1418,0.750986111,"temperate","ANPP_2","2001",NA,NA,2.93,0.839590443686007
