"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","BNPP_root_fine","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
1,"Agua Pudre plot E AGP-01 unmanaged primary forest","Aragao_2009_aabn",999,56,"Agua Pudre plot E AGP-01","unmanaged primary forest","woody","2TEB","ANPP",NA,"2004","2006",7.896,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",2.068,TRUE,25.8,9.4,0.85,4.15,31.1,20.1,11,25.9,25.4,26.2,25.1,2827,325,159,22,889,511,682,617,81.5461257309942,0,1030.39385964912,274.578245614035
2,"Agua Pudre plot U AGP-02 unmanaged primary forest","Aragao_2009_aabn",999,66,"Agua Pudre plot U AGP-02","unmanaged primary forest","woody","2TEB","ANPP",NA,"2004","2006",8.084,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,110,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",2.068,TRUE,25.8,9.3,0.85,4.11,31.1,20.2,10.9,25.9,25.4,26.2,25.2,2806,319,155,22,882,507,684,606,81.5461257309942,0,1030.39385964912,274.578245614035
3,"Aheden unmanaged","Schulze_2000_tcan",180,92,"Aheden","unmanaged","woody","2TDB","ANPP","1995",NA,NA,1.25,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,9,"Palearctic","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,"boreal","BNPP_root_fine","1995",NA,NA,0.86,TRUE,1.4,8.9,0.24,93.04,20,-16.1,36.1,12.1,-5.5,13.6,-10.5,582,72,33,26,197,100,187,124,65.5082602339181,214.354561403509,443.461403508772,176.946403508772
4,"Aheden unmanaged","Schulze_2000_tcan",180,95,"Aheden","unmanaged","woody","2TDB","ANPP","1995",NA,NA,1.87,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,9,"Palearctic","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,"boreal","BNPP_root_fine","1995",NA,NA,0.86,TRUE,1.4,8.9,0.24,93.04,20,-16.1,36.1,12.1,-5.5,13.6,-10.5,582,72,33,26,197,100,187,124,65.5082602339181,214.354561403509,443.461403508772,176.946403508772
5,"Andrews 10 unmanaged","Luyssaert_2007_cbob",552,365,"Andrews 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.76,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.76,TRUE,7.8,12.4,0.42,58.45,25.5,-3.6,29.1,1.2,15.5,15.5,0.7,1897,322,23,65,911,120,120,840,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
6,"Andrews 10 unmanaged","Luyssaert_2007_cbob",552,362,"Andrews 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.4,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.76,TRUE,7.8,12.4,0.42,58.45,25.5,-3.6,29.1,1.2,15.5,15.5,0.7,1897,322,23,65,911,120,120,840,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
7,"Andrews 11 unmanaged","Luyssaert_2007_cbob",795,386,"Andrews 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,5.54,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.19,TRUE,7.3,12.5,0.42,58.75,25.2,-4.1,29.3,0.8,15.1,15.1,0.3,1828,312,23,65,881,117,117,814,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
8,"Andrews 11 unmanaged","Luyssaert_2007_cbob",795,389,"Andrews 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,6.29,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.19,TRUE,7.3,12.5,0.42,58.75,25.2,-4.1,29.3,0.8,15.1,15.1,0.3,1828,312,23,65,881,117,117,814,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
9,"Andrews 12 unmanaged","Luyssaert_2007_cbob",629,413,"Andrews 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,4.09,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.5,TRUE,7.1,12.3,0.42,58.48,24.9,-4.2,29.1,0.7,14.9,14.9,0.1,1871,319,24,65,901,121,121,832,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
10,"Andrews 12 unmanaged","Luyssaert_2007_cbob",629,410,"Andrews 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.53,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,39,"Nearctic","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.5,TRUE,7.1,12.3,0.42,58.48,24.9,-4.2,29.1,0.7,14.9,14.9,0.1,1871,319,24,65,901,121,121,832,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
