,site_plot,citation.ID,stand.age,date,measurement.ID,sites.sitename,plot.name,dominant.life.form,dominant.veg,variable.name.x,start.date.x,end.date.x,ANPP_canopy,min.dbh,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,managed,disturbed,history.no.info,optional,AnnualMeanTemp,MeanDiurnalRange,TempSeasonality,TempRangeAnnual,AnnualPre,PreSeasonality,CloudCover,AnnualFrostDays,AnnualPET,AnnualWetDays,VapourPressure,SolarRadiation,biomes,ANPP_woody,ANPP_1
1,Agumbe Mature Rain forest,Rai_1986_esof,999,NI,82,Agumbe,Mature Rain forest,woody,2TEB,ANPP_litterfall,NI,NI,1.9646,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,13.52,75.1,575,22.2,7670,8,Asia,Aw,Tropical rainforest,0,0,1,TRUE,23.5,9,14.28,15.4,5047,144,43.16388889,0,1525.37807,100.2496491,0.232250003,725775.9,tropical,5.217,7.191
2,Aheden unmanaged,Schulze_2000_tcan,180,1995,91,Aheden,unmanaged,woody,2TDB,ANPP_foliage,NA,NA,0.43,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Sweden,64.21,19.5,175,1,588,9,Europe,Dfc,Boreal coniferous forest,0,1,0,TRUE,1.4,8.9,93.04,36.1,582,26,65.50826023,214.3545614,443.4614035,176.9464035,0.062416666,312736,boreal,0.82,1.25
3,Amacayacu E old-growth tropical forest.AGP1,Aragao_2009_aabn,999,2004,18286,Amacayacu E,old-growth tropical forest.AGP1,woody,2TEB,ANPP_litterfall,2004,2005,3.6378,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Colombia,-3.72,-70.3,NA,NA,2888,6,South America,Af,Tropical rainforest,0,0,0,TRUE,25.8,9.3,4.11,10.9,2806,22,81.54612573,0,1030.39386,274.5782456,0.288333337,486787.9,tropical,3.196,6.815
4,Amacayacu U old-growth tropical forest.AGP2,Aragao_2009_aabn,999,2004,18287,Amacayacu U,old-growth tropical forest.AGP2,woody,2TEB,ANPP_litterfall,2004,2005,3.431,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Colombia,-3.72,-70.3,NA,NA,2888,6,South America,Af,Tropical rainforest,0,0,0,TRUE,25.8,9.3,4.11,10.9,2806,22,81.54612573,0,1030.39386,274.5782456,0.288333337,486787.9,tropical,3.6096,7.05
5,Andrews 10 unmanaged,Luyssaert_2007_cbob,552,2001,361,Andrews 10,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.43,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.2479,-122.2008,785,NA,NA,39,North America,Csb,Temperate mountain system,0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,temperate,1.98,3.4
6,Andrews 11 unmanaged,Luyssaert_2007_cbob,795,2001,385,Andrews 11,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.68,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.2334,-122.1731,738,NA,NA,39,North America,Csb,Temperate mountain system,0,0,0,TRUE,7.3,12.5,58.75,29.3,1828,65,66.29217836,159.637193,806.972807,123.8908772,0.071666666,509053.6,temperate,3.86,5.54
7,Andrews 12 unmanaged,Luyssaert_2007_cbob,629,2001,409,Andrews 12,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.4,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.2587,-122.1818,812,NA,NA,39,North America,Csb,Temperate mountain system,0,0,0,TRUE,7.1,12.3,58.48,29.1,1871,65,66.29217836,159.637193,806.972807,123.8908772,0.071583333,507234.4,temperate,2.13,3.53
8,Baka MNR2,Tan_2011_aosa,999,2005,18281,Baka,MNR2,woody,2TREE,ANPP_litterfall,2003,2007,3.6848,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",China,22.09,100.77,NA,21.8,1493,NAC,Asia,Cwa,Tropical mountain system,0,0,0,TRUE,22.9,12,32.62,22.6,1255,77,60.90621345,2.054385965,1057.986842,217.2233333,0.196666669,612943.6,tropical,3.29,6.956
9,Banco plateau Mature,Bernhard-Reversat_1978_safo,999,NI,18291,Banco plateau,Mature,woody,2TEB,ANPP_litterfall,NI,NI,5.593,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Cote D'Ivoire,5.38,-4.03,100,26.2,2095,60,Africa,Aw,Tropical rainforest,0,0,1,TRUE,26.1,7.4,10.93,11,1774,85,74.44883041,0,1161.45614,137.3528947,0.290916667,628808.9,tropical,2.0868,7.661
10,Banco Valley Mature,Bernhard-Reversat_1978_safo,999,NI,18292,Banco Valley,Mature,woody,2TEB,ANPP_litterfall,NI,NI,4.371,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Cote D'Ivoire,5.38,-4.03,50,26.2,NA,60,Africa,Aw,Tropical rainforest,0,0,1,TRUE,26.1,7.4,10.93,11,1774,85,74.44883041,0,1161.45614,137.3528947,0.290916667,628808.9,tropical,1.692,6.063
