"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","mean.x","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","AnnualPre","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y","ratio"
"1","Aheden unmanaged","Schulze_2000_tcan",180,90,"Aheden","unmanaged","woody","2TDB","ANPP_woody_stem","1995",NA,NA,0.82,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,"9","Europe","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,TRUE,1.4,8.9,93.04,36.1,582,26,65.50826023,214.3545614,443.4614035,176.9464035,0.062416666,312736,9763,593,0.251944444,"boreal","ANPP_woody_branch","1995",NA,NA,0.62,1.32258064516129
"2","Allpahuayo A ALP11/ALP12 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,258,"Allpahuayo A ALP11/ALP12","wet aseasonal forest","woody","2TEB","ANPP_woody_stem",NA,"2010","2011",4.3,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.95,-73.4333,120,25.2,2689,"35","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.3,9.6,4.27,11.3,2762,18,78.89298246,0,1481.55614,239.7389474,0.285833339,470899.4,23079,1152,0.669986111,"tropical","ANPP_woody_branch",NA,"2009.832877","2010.665753",1.42,3.02816901408451
"3","Allpahuayo C ALP30 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,283,"Allpahuayo C ALP30","wet aseasonal forest","woody","2TEB","ANPP_woody_stem",NA,"2010","2011",2.94,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.9543,-73.4267,150,25.2,2689,"35","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.3,9.6,4.27,11.3,2762,18,78.89298246,0,1481.55614,239.7389474,0.285833339,470899.4,23079,1152,0.669986111,"tropical","ANPP_woody_branch",NA,"2009.832877","2010.665753",1.01,2.91089108910891
"4","Andersby Angsbackar Site 3","DeAngelis_1981_pofe",120,20333,"Andersby Angsbackar","Site 3","woody","2TDB","ANPP_woody_stem","1970","1968","1973",0.4277,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",60,17,30,5.5,566,"NAC","Europe","Dfb","Temperate continental forest","NAC","1850","Initiation of post-disturbance cohort (planted or natural)","1850","NAC","NAC",0,0,0,TRUE,5.2,7.6,76.24,29.5,589,30,65.57675439,160.2990351,527.0061404,160.1968421,0.075583334,350679.2,8461,732,0.298625,"temperate","ANPP_woody_branch","1970","1968","1973",0.611,0.7
"5","Andrews 10 unmanaged","DeAngelis_1981_pofe",450,20359,"Andrews 10","unmanaged","woody","2TEN","ANPP_woody_stem","1972","1972","1972",1.0998,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_woody_branch","1972","1972","1972",0.3055,3.6
"6","Andrews 10 unmanaged","Luyssaert_2007_cbob",552,360,"Andrews 10","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.98,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_woody_branch","2001",NA,NA,0.36,5.5
"7","Andrews 11 unmanaged","Luyssaert_2007_cbob",795,384,"Andrews 11","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,3.86,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,TRUE,7.3,12.5,58.75,29.3,1828,65,66.29217836,159.637193,806.972807,123.8908772,0.071666666,509053.6,13873,1208,0.581194444,"temperate","ANPP_woody_branch","2001",NA,NA,0.75,5.14666666666667
"8","Andrews 12 unmanaged","Luyssaert_2007_cbob",629,408,"Andrews 12","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.13,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,TRUE,7.1,12.3,58.48,29.1,1871,65,66.29217836,159.637193,806.972807,123.8908772,0.071583333,507234.4,14234,1210,0.579680556,"temperate","ANPP_woody_branch","2001",NA,NA,0.56,3.80357142857143
"9","Battle Ax 5 unmanaged","Luyssaert_2007_cbob",154,1289,"Battle Ax 5","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.836,-122.2246,1027,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1847","Initiation of post-disturbance cohort (natural)","1847","NAC","NAC",0,0,0,TRUE,7.2,10.3,52.45,25.1,2306,63,68.79429825,160.3940351,747.9245614,133.4398246,0.071166667,490119.2,19783,1131,0.501847222,"temperate","ANPP_woody_branch","2001",NA,NA,0.27,5.40740740740741
"10","Battle Ax 6 unmanaged","Luyssaert_2007_cbob",67,1298,"Battle Ax 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.04,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.8386,-122.2342,987,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1934","Initiation of post-disturbance cohort (natural)","1934","NAC","NAC",0,0,0,TRUE,6.5,10.1,52.37,24.9,2378,63,68.79429825,160.3940351,747.9245614,133.4398246,0.068500001,489987,20471,1129,0.501847222,"temperate","ANPP_woody_branch","2001",NA,NA,0.36,5.66666666666667
"11","Big Butte Springs 2 unmanaged","Luyssaert_2007_cbob",71,1503,"Big Butte Springs 2","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.586,-122.4478,931,NA,NA,"74","North America","Csb","Temperate mountain system","NAC","1930","Initiation of post-disturbance cohort (natural)","1930","NAC","NAC",0,0,0,TRUE,9,15.4,61,32.8,887,63,62.42207602,197.4075439,876.6719298,112.9767544,0.073416666,549296.2,6244,1418,0.750986111,"temperate","ANPP_woody_branch","2001",NA,NA,0.23,10.695652173913
"12","Big Butte Springs 6 unmanaged","Luyssaert_2007_cbob",63,1546,"Big Butte Springs 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.81,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.6025,-122.4755,969,NA,NA,"74","North America","Csb","Temperate mountain system","NAC","1938","Initiation of post-disturbance cohort (natural)","1938","NAC","NAC",0,0,0,TRUE,8.6,15.2,60.57,32.5,920,63,62.42207602,197.4075439,876.6719298,112.9767544,0.071916666,547099.4,6807,1388,0.737916667,"temperate","ANPP_woody_branch","2001",NA,NA,0.14,12.9285714285714
"13","Blue Mountain 5 unmanaged","Luyssaert_2007_cbob",73,1790,"Blue Mountain 5","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,4.07,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7037,-122.9292,876,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1928","Initiation of post-disturbance cohort (natural)","1928","NAC","NAC",0,0,0,TRUE,8.2,12.1,52.47,27.1,1719,65,64.75906433,119.8965789,877.5201754,120.1534211,0.077083333,503646.8,16022,1192,0.584805556,"temperate","ANPP_woody_branch","2001",NA,NA,0.27,15.0740740740741
