"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
1,"Agua Pudre plot E AGP-01 unmanaged primary forest","Aragao_2009_aabn",999,57,"Agua Pudre plot E AGP-01","unmanaged primary forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.666,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.73,-70.4,105,25.5,2723,"6","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2004","2006",3.196,TRUE,25.8,9.4,0.85,4.15,31.1,20.1,11,25.9,25.4,26.2,25.1,2827,325,159,22,889,511,682,617,81.5461257309942,0,1030.39385964912,274.578245614035
2,"Agua Pudre plot U AGP-02 unmanaged primary forest","Aragao_2009_aabn",999,67,"Agua Pudre plot U AGP-02","unmanaged primary forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.478,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,110,25.5,2723,"6","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2004","2006",3.572,TRUE,25.8,9.3,0.85,4.11,31.1,20.2,10.9,25.9,25.4,26.2,25.2,2806,319,155,22,882,507,684,606,81.5461257309942,0,1030.39385964912,274.578245614035
3,"Agumbe Mature Rain forest","Rai_1986_esof",999,82,"Agumbe","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.9646,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",13.52,75.1,575,22.2,7670,"8","IndoMalay","Aw","Tropical rainforest","0.44","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",5.217,TRUE,23.5,9,0.58,14.28,31.6,16.2,15.4,22.4,23.8,25.8,22.3,5047,1932,1,144,4181,10,209,3633,43.1638888888889,0,1525.37807017544,100.249649122807
4,"Aheden unmanaged","Schulze_2000_tcan",180,91,"Aheden","unmanaged","woody","2TDB","ANPP_foliage","1995",NA,NA,0.43,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,"9","Palearctic","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,"boreal","ANPP_woody_stem","1995",NA,NA,0.82,TRUE,1.4,8.9,0.24,93.04,20,-16.1,36.1,12.1,-5.5,13.6,-10.5,582,72,33,26,197,100,187,124,65.5082602339181,214.354561403509,443.461403508772,176.946403508772
5,"Allpahuayo A ALP11/ALP12 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,256,"Allpahuayo A ALP11/ALP12","wet aseasonal forest","woody","2TEB","ANPP_foliage",NA,"2009","2011.246575",2.68,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.95,-73.4333,120,25.2,2689,"35","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2010","2011",4.3,TRUE,26.3,9.6,0.84,4.27,32.1,20.8,11.3,26.2,25.9,26.8,25.7,2762,288,159,18,827,529,708,535,78.8929824561404,0,1481.55614035088,239.738947368421
6,"Allpahuayo C ALP30 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,281,"Allpahuayo C ALP30","wet aseasonal forest","woody","2TEB","ANPP_foliage",NA,"2009","2011.246575",4.05,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.9543,-73.4267,150,25.2,2689,"35","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2010","2011",2.94,TRUE,26.3,9.6,0.84,4.27,32.1,20.8,11.3,26.2,25.9,26.8,25.7,2762,288,159,18,827,529,708,535,78.8929824561404,0,1481.55614035088,239.738947368421
7,"Amacayacu E old-growth tropical forest.AGP1","Aragao_2009_aabn",999,18286,"Amacayacu E","old-growth tropical forest.AGP1","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.6378,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,NA,NA,2888,"6","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2004","2004","2005",3.196,TRUE,25.8,9.3,0.85,4.11,31.1,20.2,10.9,25.9,25.4,26.2,25.2,2806,319,155,22,882,507,684,606,81.5461257309942,0,1030.39385964912,274.578245614035
8,"Amacayacu U old-growth tropical forest.AGP2","Aragao_2009_aabn",999,18287,"Amacayacu U","old-growth tropical forest.AGP2","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.431,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,NA,NA,2888,"6","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2004","2004","2005",3.6096,TRUE,25.8,9.3,0.85,4.11,31.1,20.2,10.9,25.9,25.4,26.2,25.2,2806,319,155,22,882,507,684,606,81.5461257309942,0,1030.39385964912,274.578245614035
9,"Andrews 10 unmanaged","Luyssaert_2007_cbob",552,361,"Andrews 10","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.43,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","Nearctic","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.98,TRUE,7.8,12.4,0.42,58.45,25.5,-3.6,29.1,1.2,15.5,15.5,0.7,1897,322,23,65,911,120,120,840,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
10,"Andrews 11 unmanaged","Luyssaert_2007_cbob",795,385,"Andrews 11","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.68,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,"39","Nearctic","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,3.86,TRUE,7.3,12.5,0.42,58.75,25.2,-4.1,29.3,0.8,15.1,15.1,0.3,1828,312,23,65,881,117,117,814,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
