"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","ANPP_woody_stem","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y"
"1","Agua Pudre plot E AGP-01 unmanaged primary forest","Aragao_2009_aabn",999,57,"Agua Pudre plot E AGP-01","unmanaged primary forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.666,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.73,-70.4,105,25.5,2723,"6","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,25.8,9.4,4.15,11,2827,22,81.54612573,0,1030.39386,274.5782456,0.287416671,485793.9,24351,1216,0.735361111,"tropical","ANPP_woody_stem",NA,"2004","2006",3.196
"2","Agua Pudre plot U AGP-02 unmanaged primary forest","Aragao_2009_aabn",999,67,"Agua Pudre plot U AGP-02","unmanaged primary forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.478,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,110,25.5,2723,"6","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,25.8,9.3,4.11,10.9,2806,22,81.54612573,0,1030.39386,274.5782456,0.288333337,486787.9,24150,1222,0.745166667,"tropical","ANPP_woody_stem",NA,"2004","2006",3.572
"3","Agumbe Mature Rain forest","Rai_1986_esof",999,82,"Agumbe","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.9646,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",13.52,75.1,575,22.2,7670,"8","Asia","Aw","Tropical rainforest","0.44","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,23.5,9,14.28,15.4,5047,144,43.16388889,0,1525.37807,100.2496491,0.232250003,725775.9,39152,1669,0.682527778,"tropical","ANPP_woody_stem","NI","NI","NI",5.217
"4","Aheden unmanaged","Schulze_2000_tcan",180,91,"Aheden","unmanaged","woody","2TDB","ANPP_foliage","1995",NA,NA,0.43,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",64.21,19.5,175,1,588,"9","Europe","Dfc","Boreal coniferous forest","NAC","1815","NAC","NAC","NAC","NAC",0,1,0,TRUE,1.4,8.9,93.04,36.1,582,26,65.50826023,214.3545614,443.4614035,176.9464035,0.062416666,312736,9763,593,0.251944444,"boreal","ANPP_woody_stem","1995",NA,NA,0.82
"5","Allpahuayo A ALP11/ALP12 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,256,"Allpahuayo A ALP11/ALP12","wet aseasonal forest","woody","2TEB","ANPP_foliage",NA,"2009","2011.246575",2.68,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.95,-73.4333,120,25.2,2689,"35","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.3,9.6,4.27,11.3,2762,18,78.89298246,0,1481.55614,239.7389474,0.285833339,470899.4,23079,1152,0.669986111,"tropical","ANPP_woody_stem",NA,"2010","2011",4.3
"6","Allpahuayo C ALP30 wet aseasonal forest","del Aguila-Pasquel_2014_tsco",999,281,"Allpahuayo C ALP30","wet aseasonal forest","woody","2TEB","ANPP_foliage",NA,"2009","2011.246575",4.05,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-3.9543,-73.4267,150,25.2,2689,"35","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.3,9.6,4.27,11.3,2762,18,78.89298246,0,1481.55614,239.7389474,0.285833339,470899.4,23079,1152,0.669986111,"tropical","ANPP_woody_stem",NA,"2010","2011",2.94
"7","Amacayacu E old-growth tropical forest.AGP1","Aragao_2009_aabn",999,18286,"Amacayacu E","old-growth tropical forest.AGP1","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.6378,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,NA,NA,2888,"6","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.8,9.3,4.11,10.9,2806,22,81.54612573,0,1030.39386,274.5782456,0.288333337,486787.9,24150,1222,0.745166667,"tropical","ANPP_woody_stem","2004","2004","2005",3.196
"8","Amacayacu U old-growth tropical forest.AGP2","Aragao_2009_aabn",999,18287,"Amacayacu U","old-growth tropical forest.AGP2","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.431,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",-3.72,-70.3,NA,NA,2888,"6","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.8,9.3,4.11,10.9,2806,22,81.54612573,0,1030.39386,274.5782456,0.288333337,486787.9,24150,1222,0.745166667,"tropical","ANPP_woody_stem","2004","2004","2005",3.6096
"9","Andersby Angsbackar Site 3","DeAngelis_1981_pofe",120,17775,"Andersby Angsbackar","Site 3","woody","2TDB","ANPP_foliage","1970","1968","1973",0.799,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",60,17,30,5.5,566,"NAC","Europe","Dfb","Temperate continental forest","NAC","1850","Initiation of post-disturbance cohort (planted or natural)","1850","NAC","NAC",0,0,0,TRUE,5.2,7.6,76.24,29.5,589,30,65.57675439,160.2990351,527.0061404,160.1968421,0.075583334,350679.2,8461,732,0.298625,"temperate","ANPP_woody_stem","1970","1968","1973",0.4277
"10","Andersby Angsbackar Site 3","DeAngelis_1981_pofe",120,20273,"Andersby Angsbackar","Site 3","woody","2TDB","ANPP_litterfall","1970","1968","1973",1.5228,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",60,17,30,5.5,566,"NAC","Europe","Dfb","Temperate continental forest","NAC","1850","Initiation of post-disturbance cohort (planted or natural)","1850","NAC","NAC",0,0,0,TRUE,5.2,7.6,76.24,29.5,589,30,65.57675439,160.2990351,527.0061404,160.1968421,0.075583334,350679.2,8461,732,0.298625,"temperate","ANPP_woody_stem","1970","1968","1973",0.4277
