,site,census_interval,ANPP_total_1cm,min.dbh,LAT,LON,MASL,MAT,MAP,stand.age,min.dbh,citation.ID,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,plot.area,year.establishment.oldest.trees,regrowth.type,regrowth.year,distmrs.type,distmrs.yr,managed,disturbed,history.no.info
1,bci,census_2_3,1.584715966,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
2,bci,census_3_4,1.33966848,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
3,bci,census_4_5,1.966729059,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
4,bci,census_5_6,1.954971371,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
5,bci,census_6_7,2.369133806,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
6,bci,census_7_8,2.80919219,10,9.1543,-79.8461,140,27.4,2167,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,48.1,NAC,NAC,NAC,No disturbance,1500,0,1,0
7,cocoli,census_1_2,2.735905955,10,8.9877,-79.6166,NA,26,1808,,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,8.9877,-79.6166,NA,26,1808,7,Neotropics,Am,Tropical moist forest,4,1894,Initiation of post-disturbance cohort (natural),1894,NAC,NAC,0,1,0
8,cocoli,census_2_3,1.2425557,10,8.9877,-79.6166,NA,26,1808,,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,8.9877,-79.6166,NA,26,1808,7,Neotropics,Am,Tropical moist forest,4,1894,Initiation of post-disturbance cohort (natural),1894,NAC,NAC,0,1,0
9,laupahoehoe,census_1_2,2.326459023,10,19.9301,-155.287,1120,16,3440,999,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.2815,-79.974,NA,25.6,3197,7,Neotropics,Am,Tropical rainforest,4.96,NAC,NAC,NAC,No severe disturbance,1800,0,1,0
10,luquillo,census_1_2,1.869625623,10,18.3262,-65.816,380.5,22.8,3548,,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.2815,-79.974,NA,25.6,3197,7,Neotropics,Am,Tropical rainforest,4.96,NAC,NAC,NAC,No severe disturbance,1800,0,1,0
