,site,census_interval,ANPP_total_1cm,ANPP_total_10cm,min.dbh,lat,lon,masl,mat,map
1,bci,census_2_3,1.584715966,1.366802715,10,9.1543,-79.8461,140,27.4,2167
2,bci,census_3_4,1.33966848,1.157876408,10,9.1543,-79.8461,140,27.4,2167
3,bci,census_4_5,1.966729059,1.766302985,10,9.1543,-79.8461,140,27.4,2167
4,bci,census_5_6,1.954971371,1.730363059,10,9.1543,-79.8461,140,27.4,2167
5,bci,census_6_7,2.369133806,2.115784674,10,9.1543,-79.8461,140,27.4,2167
6,bci,census_7_8,2.80919219,2.49083514,10,9.1543,-79.8461,140,27.4,2167
7,cocoli,census_1_2,2.735905955,2.558842322,10,8.9877,-79.6166,NA,26,1808
8,cocoli,census_2_3,1.2425557,1.156679781,10,8.9877,-79.6166,NA,26,1808
9,laupahoehoe,census_1_2,2.326459023,1.994899578,10,19.9301,-155.287,1120,16,3440
10,luquillo,census_1_2,1.869625623,1.529298174,10,18.3262,-65.816,380.5,22.8,3548
11,luquillo,census_2_3,1.510526022,1.245366955,10,18.3262,-65.816,380.5,22.8,3548
12,luquillo,census_3_4,2.159156643,1.857750789,10,18.3262,-65.816,380.5,22.8,3548
13,luquillo,census_4_5,2.10459585,1.949958475,10,18.3262,-65.816,380.5,22.8,3548
14,palamanui,census_1_2,0.136254216,0.010753133,10,19.7394,-155.994,240,20,835
15,sherman,census_1_2,1.809698571,1.591090974,10,9.2815,-79.974,NA,25.6,3197
16,sherman,census_2_3,2.831504047,2.547271335,10,9.2815,-79.974,NA,25.6,3197
17,sherman,census_3_4,2.147401832,1.862841141,10,9.2815,-79.974,NA,25.6,3197
18,scbi,census_1_2,2.811518351,2.763840037,10,38.8935,-78.14538889,302,12.9,1001
19,serc,census_1_2,1.996095119,1.927738984,10,38.8891,-76.5594,8,13.2,1068
20,wabikon,census_1_2,2.896398723,2.088202477,10,45.5546,-88.7945,NA,4.2,805
21,wytham,census_1_2,1.328096846,1.295925808,10,51.7743,-1.3379,133.5,10,717
