"koeppen","area","percentage","prob"
"Af",6290000,14.5,0.145
"Am",4150000,9.54,0.0954
"As",255000,0.586,0.00586
"Aw",6730000,15.5,0.155
"BSh",272000,0.625,0.00625
"BSk",95500,0.22,0.0022
"BWh",2860,0.00658,6.58e-05
"BWk",30.2,6.94e-05,6.94e-07
"Cfa",2740000,6.3,0.063
"Cfb",1730000,3.98,0.0398
"Cfc",123000,0.283,0.00283
"Csa",223000,0.513,0.00513
"Csb",617000,1.42,0.0142
"Csc",7700,0.0177,0.000177
"Cwa",1590000,3.66,0.0366
"Cwb",421000,0.968,0.00968
"Cwc",1600,0.00368,3.68e-05
"Dfa",46600,0.107,0.00107
"Dfb",4180000,9.61,0.0961
"Dfc",10300000,23.7,0.237
"Dfd",685000,1.58,0.0158
"Dsb",86100,0.198,0.00198
"Dsc",174000,0.4,0.004
"Dwa",156000,0.359,0.00359
"Dwb",756000,1.74,0.0174
"Dwc",1540000,3.54,0.0354
"Dwd",44700,0.103,0.00103
"ET",270000,0.621,0.00621
