SYNMAP,synform,synLPh,synLT,Koeppen,AREAkm2
1,Trees,Evergreen,Needle,Af,2368.830621
1,Trees,Evergreen,Needle,Am,7195.670022
1,Trees,Evergreen,Needle,As,403.3425499
1,Trees,Evergreen,Needle,Aw,29460.77232
1,Trees,Evergreen,Needle,BSh,29382.7022
1,Trees,Evergreen,Needle,BSk,85549.91159
1,Trees,Evergreen,Needle,BWk,30.16461026
1,Trees,Evergreen,Needle,Cfa,1229772.459
1,Trees,Evergreen,Needle,Cfb,339509.792
1,Trees,Evergreen,Needle,Cfc,30237.55739
1,Trees,Evergreen,Needle,Csa,112003.4775
1,Trees,Evergreen,Needle,Csb,458363.8368
1,Trees,Evergreen,Needle,Cwa,53402.99814
1,Trees,Evergreen,Needle,Cwb,103289.7206
1,Trees,Evergreen,Needle,Cwc,1598.709527
1,Trees,Evergreen,Needle,Dfa,305.8082956
1,Trees,Evergreen,Needle,Dfb,1255277.7
1,Trees,Evergreen,Needle,Dfc,7962261.128
1,Trees,Evergreen,Needle,Dfd,138270.4868
1,Trees,Evergreen,Needle,Dsb,83629.03508
1,Trees,Evergreen,Needle,Dsc,164048.143
1,Trees,Evergreen,Needle,Dwb,67129.67952
1,Trees,Evergreen,Needle,Dwc,887305.9085
1,Trees,Evergreen,Needle,Dwd,8322.76722
1,Trees,Evergreen,Needle,ET,158318.8204
2,Trees,Deciduous,Needle,Dfb,15971.27419
2,Trees,Deciduous,Needle,Dfc,1144965.982
2,Trees,Deciduous,Needle,Dfd,517129.3504
2,Trees,Deciduous,Needle,Dwb,10618.82428
2,Trees,Deciduous,Needle,Dwc,318180.5981
2,Trees,Deciduous,Needle,Dwd,35547.68679
2,Trees,Deciduous,Needle,ET,2947.797766
3,Trees,Mixed D/E,Needle,Dfc,156810.0329
3,Trees,Mixed D/E,Needle,Dfd,22516.31961
3,Trees,Mixed D/E,Needle,Dwb,1227.684352
3,Trees,Mixed D/E,Needle,Dwc,17631.48764
3,Trees,Mixed D/E,Needle,Dwd,713.6167191
3,Trees,Mixed D/E,Needle,ET,1721.507765
4,Trees,Evergreen,Broad,Af,6273706.114
4,Trees,Evergreen,Broad,Am,4123194.33
4,Trees,Evergreen,Broad,As,185293.2651
4,Trees,Evergreen,Broad,Aw,4910794.61
4,Trees,Evergreen,Broad,BSh,13670.57842
4,Trees,Evergreen,Broad,BSk,7149.393695
4,Trees,Evergreen,Broad,BWh,2860.644608
4,Trees,Evergreen,Broad,Cfa,568482.2631
4,Trees,Evergreen,Broad,Cfb,821422.2672
4,Trees,Evergreen,Broad,Cfc,51575.17989
4,Trees,Evergreen,Broad,Csa,16297.74795
4,Trees,Evergreen,Broad,Csb,96403.37234
4,Trees,Evergreen,Broad,Csc,2064.445652
4,Trees,Evergreen,Broad,Cwa,611042.5049
