"","fixed","significant","p.value","sample.size","Rsq","Rsq"
"1","lat",TRUE,4.461e-12,224,0.1945,0.1945
"2","AnnualMeanTemp",TRUE,7.46e-10,224,0.1572,0.1572
"3","MeanDiurnalRange",TRUE,0.01262,224,0.0277,0.0277
"4","Isothermality",TRUE,7.298e-17,224,0.2696,0.2696
"5","TempSeasonality",TRUE,1.394e-13,224,0.2189,0.2189
"6","MaxTWarmestMonth",FALSE,0.1151,224,0.01115,0.01115
"7","MinTColdestMonth",TRUE,9.382e-12,224,0.1892,0.1892
"8","TempRangeAnnual",TRUE,4.929e-14,224,0.226,0.226
"9","MeanTWetQ",TRUE,1.888e-06,224,0.09743,0.09743
"10","MeanTDryQ",TRUE,1.495e-06,224,0.09925,0.09925
"11","MeanTWarmQ",TRUE,0.0008536,224,0.04897,0.04897
"12","MeanTColdQ",TRUE,1.136e-11,224,0.1878,0.1878
"13","AnnualPre",FALSE,0.09058,224,0.01285,0.01285
"14","PreWetMonth",FALSE,0.2259,224,0.006597,0.006597
"15","PreDryMonth",TRUE,0.001386,224,0.04511,0.04511
"16","PreSeasonality",TRUE,0.04177,224,0.01854,0.01854
"17","PreWetQ",FALSE,0.5676,224,0.001474,0.001474
"18","PreDryQ",TRUE,0.0004686,224,0.05375,0.05375
"19","PreWarmQ",TRUE,0.03812,224,0.01922,0.01922
"20","PreColdQ",FALSE,0.3674,224,0.003661,0.003661
"21","CloudCover",TRUE,0.003139,224,0.03862,0.03862
"22","AnnualFrostDays",TRUE,1.59e-11,224,0.1854,0.1854
"23","AnnualPET",TRUE,0.04302,224,0.01832,0.01832
"24","AnnualWetDays",TRUE,9.861e-06,224,0.08443,0.08443
