"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","mat","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.966
"NPP","mat","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.007e-09,81,0.5745,0.8331,0.5357
"BNPP_root","mat","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.691e-06,89,0.4185,0.7825,2.274
"BNPP_root_fine","mat","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003528,80,0.2143,0.3428,0.9519
"GPP","mat","lat","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,3.402
"NPP","mat","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","lat","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,1.814
"BNPP_root_fine","mat","lat","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.474
"NPP","mat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.056
"BNPP_root_fine","mat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.002723,81,0.236,0.3547,0.0342
"GPP","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.127e-16,279,0.7055,0.8986,2.557
"NPP","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.433e-09,82,0.6284,0.8471,0.276
"BNPP_root","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.114e-07,90,0.5107,0.8026,4.664
"BNPP_root_fine","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.547e-16,279,0.7116,0.8999,0.1425
"NPP","mat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.155e-10,82,0.6615,0.8424,1.359
"BNPP_root","mat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.001e-07,90,0.4756,0.796,1.883
"BNPP_root_fine","mat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.294
"NPP","mat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.509e-09,82,0.6103,0.8357,0.1624
"BNPP_root","mat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,0.6653
"BNPP_root_fine","mat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,1.863
"NPP","mat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.778e-06,90,0.4639,0.8123,0.1477
"BNPP_root_fine","mat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.687
"NPP","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.89e-09,82,0.6197,0.8397,0.2044
"BNPP_root","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,0.6559
"NPP","mat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.448e-07,90,0.4541,0.8143,0.4953
"BNPP_root_fine","mat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,0.001367,81,0.2812,0.4195,0.4564
"GPP","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,3.903
"NPP","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,0.4869
"NPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.3978
"BNPP_root","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.211e-06,90,0.4377,0.7827,0.9824
"BNPP_root_fine","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.33
"NPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.351
"NPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.137e-14,279,0.6713,0.9029,1.526
"NPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,2.69
