"response","fixed","random","Age.filter","equation","significant","additive","interactive","Rsq.R2m","Rsq.R2c"
"GPP","mat","geographic.area/plot.name",">=100 yrs","GPP = 8.42 + mat x 1.03  + age x 0.37 + -0.57  x interaction",TRUE,FALSE,TRUE,0.7817,0.9973
"NPP","mat","geographic.area/plot.name",">=100 yrs","NPP = 2.88 + mat x 0.28",TRUE,FALSE,FALSE,0.758,0.9787
"BNPP_root","mat","geographic.area/plot.name",">=100 yrs","BNPP_root = 0.11 + mat x 0.14  + age x 1.48 + -0.09  x interaction",TRUE,FALSE,TRUE,0.4208,0.9807
"BNPP_root_fine","mat","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.69 + mat x 0.04",TRUE,FALSE,FALSE,0.1126,0.8675
"GPP","map","geographic.area/plot.name",">=100 yrs","GPP = 10.21 + map x 0.01  + age x 6.97 + -0.01  x interaction",TRUE,FALSE,TRUE,0.4036,0.9978
"NPP","map","geographic.area/plot.name",">=100 yrs","NPP = 8.23 + map x 0",TRUE,FALSE,FALSE,0.08102,0.9941
"BNPP_root","map","geographic.area/plot.name",">=100 yrs","BNPP_root = 2.38 + map x 0",FALSE,FALSE,FALSE,3.955e-05,0.9813
"BNPP_root_fine","map","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.61 + map x 0",TRUE,FALSE,FALSE,0.1407,0.8771
"GPP","lat","geographic.area/plot.name",">=100 yrs","GPP = 37.54 + lat x -0.5  + age x -12.58 + 0.24  x interaction",TRUE,FALSE,TRUE,0.7098,0.9971
"NPP","lat","geographic.area/plot.name",">=100 yrs","NPP = 11.16 + lat x -0.13  + age x -1.34",TRUE,TRUE,FALSE,0.69,0.9826
"BNPP_root","lat","geographic.area/plot.name",">=100 yrs","BNPP_root = 3.9 + lat x -0.05",TRUE,FALSE,FALSE,0.4875,0.9841
"BNPP_root_fine","lat","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 2.8 + lat x -0.02",TRUE,FALSE,FALSE,0.113,0.8951
"GPP","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","GPP = 9.02 + AnnualMeanTemp x 0.93  + age x 0.17 + -0.43  x interaction",TRUE,FALSE,TRUE,0.7244,0.9972
"NPP","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","NPP = 3.17 + AnnualMeanTemp x 0.26",TRUE,FALSE,FALSE,0.7238,0.9811
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","BNPP_root = 0.17 + AnnualMeanTemp x 0.14  + age x 1.23 + -0.07  x interaction",TRUE,FALSE,TRUE,0.477,0.983
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.55 + AnnualMeanTemp x 0.05",TRUE,FALSE,FALSE,0.1643,0.892
"GPP","TempSeasonality","geographic.area/plot.name",">=100 yrs","GPP = 34.75 + TempSeasonality x -0.22  + age x -11.18 + 0.11  x interaction",TRUE,FALSE,TRUE,0.7319,0.9971
"NPP","TempSeasonality","geographic.area/plot.name",">=100 yrs","NPP = 10.18 + TempSeasonality x -0.05  + age x -1.22",TRUE,TRUE,FALSE,0.6122,0.9832
"BNPP_root","TempSeasonality","geographic.area/plot.name",">=100 yrs","BNPP_root = 3.67 + TempSeasonality x -0.03",TRUE,FALSE,FALSE,0.4938,0.985
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 2.71 + TempSeasonality x -0.01",TRUE,FALSE,FALSE,0.1268,0.892
"GPP","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","GPP = 41.77 + TempRangeAnnual x -0.72  + age x -12.05 + 0.29  x interaction",TRUE,FALSE,TRUE,0.7176,0.9973
"NPP","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","NPP = 11.89 + TempRangeAnnual x -0.19  + age x -0.96",TRUE,TRUE,FALSE,0.5923,0.9837
