"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","mat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.27305450735518e-12,189,0.7824,0.9706,0.6377
"NPP","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.31412249430189e-08,61,0.5098,0.8045,2.223
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,7.89873200556186e-05,68,0.3641,0.7706,3.306
"BNPP_root_fine","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.108012174640651,60,0.05245,0.2993,1.844
"GPP","map","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,1.03108693055685e-06,189,0.6582,0.9746,7.387
"NPP","map","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,4.64846322596013e-08,60,0.3903,0.9167,2.701
"BNPP_root","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.00228061769558906,71,0.2024,0.7774,2.424
"BNPP_root_fine","map","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.115786581303237,59,0.04943,0.3916,2.008
"GPP","lat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.98711019462379e-11,209,0.7052,0.965,1.123
"NPP","lat","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,3.09175386269757e-08,69,0.5308,0.8078,1.563
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.1408445100188e-07,81,0.3934,0.7814,2.036
"BNPP_root_fine","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.038530799433196,68,0.08163,0.3827,1.847
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,4.32634307101427e-12,209,0.7513,0.9649,2.429
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.02330647101985e-08,69,0.5096,0.7955,1.863
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,3.17685915705454e-06,81,0.3924,0.7762,0.1238
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0123986178154477,68,0.1147,0.3553,2.184
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,1.23844780272558e-13,209,0.7413,0.9628,1.78
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,2.73123184056816e-08,69,0.5718,0.8094,2.203
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.52438444672286e-08,81,0.4551,0.7962,0.5753
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0415069412002125,68,0.081,0.3876,1.594
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,6.38352998512757e-13,209,0.7192,0.9646,1.053
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,2.88783896576937e-08,69,0.5869,0.8111,2.122
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.84839795896557e-08,81,0.4469,0.794,2.128
"BNPP_root_fine","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0273938806908141,68,0.09249,0.3918,1.699
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,5.69308697492631e-07,209,0.4281,0.9693,0.1241
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,6.58397982266464e-06,69,0.4362,0.8127,3.721
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,0.000175631446423368,81,0.3287,0.8379,3.619
"BNPP_root_fine","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",FALSE,0.158956565808331,68,0.06284,0.3792,0.4151
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,7.47832458891425e-09,209,0.6411,0.9641,1.321
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.85344425435104e-08,69,0.4898,0.8223,0.2437
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.00832189263521e-06,81,0.3319,0.7703,1.632
"BNPP_root_fine","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00724993100096547,68,0.1282,0.3727,1.417
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.66256547009998e-08,209,0.5943,0.9645,1.256
"NPP","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,2.15520600888882e-05,69,0.3555,0.8129,1.571
