"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"GPP","mat","geographic.area/plot.name","age.greater.than.100",TRUE,1.217e-09,149,0.6815,0.9706
"NPP","mat","geographic.area/plot.name","age.greater.than.100",TRUE,4.951e-09,70,0.6012,0.8411
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.100",TRUE,2.34e-06,81,0.3985,0.7194
"BNPP_root_fine","mat","geographic.area/plot.name","age.greater.than.100",TRUE,0.0108,71,0.1728,0.3567
"GPP","map","geographic.area/plot.name","age.greater.than.100",TRUE,8.621e-05,150,0.4648,0.9736
"NPP","map","geographic.area/plot.name","age.greater.than.100",TRUE,1.93e-09,70,0.4808,0.9159
"BNPP_root","map","geographic.area/plot.name","age.greater.than.100",TRUE,3.131e-05,85,0.2936,0.8151
"BNPP_root_fine","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.02364,71,0.1417,0.4815
"GPP","lat","geographic.area/plot.name","age.greater.than.100",TRUE,2.943e-11,171,0.6418,0.9642
"NPP","lat","geographic.area/plot.name","age.greater.than.100",TRUE,6.776e-08,80,0.5487,0.8559
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.100",TRUE,8.171e-09,95,0.4593,0.8112
"BNPP_root_fine","lat","geographic.area/plot.name","age.greater.than.100",TRUE,0.003018,81,0.2008,0.4591
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,7.874e-13,171,0.6811,0.9649
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,3.766e-09,80,0.5801,0.8304
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,9.751e-08,95,0.4165,0.7576
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,0.0009104,81,0.2259,0.3925
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,6.463e-15,171,0.7061,0.9617
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,1.269e-08,80,0.5894,0.8627
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,5.514e-10,95,0.5004,0.8229
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.003062,81,0.2015,0.4598
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,8.223e-15,171,0.7034,0.9628
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,2.925e-09,80,0.6148,0.8537
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,6.033e-10,95,0.4871,0.8256
"BNPP_root_fine","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,0.002688,81,0.2003,0.4616
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,3.332e-07,171,0.4408,0.9642
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,8.083e-06,80,0.3556,0.7855
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,0.0002532,95,0.2149,0.7295
"BNPP_root_fine","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,0.01546,81,0.1382,0.3909
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,2.25e-10,171,0.6041,0.9651
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,1.14e-08,80,0.5673,0.8514
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,1.063e-07,95,0.4056,0.7892
"BNPP_root_fine","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,0.0006194,81,0.233,0.4129
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,5.477e-06,171,0.4107,0.9646
"NPP","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,3.135e-05,80,0.4104,0.8649
"BNPP_root","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,5.405e-06,95,0.3568,0.8168
"BNPP_root_fine","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.1032,81,0.0955,0.4227
"GPP","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,7.102e-14,171,0.72,0.9658
"NPP","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,5.832e-09,80,0.559,0.818
"BNPP_root","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,5.383e-08,95,0.4163,0.761
"BNPP_root_fine","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,0.0008631,81,0.2263,0.3948
"GPP","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.03916,171,0.09542,0.9677
"NPP","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.02879,80,0.1029,0.8014
"BNPP_root","Aridity","geographic.area/plot.name","age.greater.than.100",FALSE,0.05712,95,0.05079,0.7905
"BNPP_root_fine","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.03973,81,0.102,0.4102
"GPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,2.913e-07,171,0.3798,0.9634
"NPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,4.191e-07,80,0.4958,0.8574
"BNPP_root","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,1.961e-07,95,0.4104,0.7871
"BNPP_root_fine","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,0.004131,81,0.1844,0.4346
"GPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,1.139e-06,171,0.3601,0.9636
"NPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,3.548e-06,80,0.4059,0.8326
"BNPP_root","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,5.465e-05,95,0.2881,0.7354
"BNPP_root_fine","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,0.01169,81,0.1561,0.374
"ANPP_1","mat","geographic.area/plot.name","age.greater.than.100",TRUE,7.169e-09,137,0.2679,0.9066
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.100",TRUE,2.489e-12,82,0.6173,0.8794
"ANPP_repro","mat","geographic.area/plot.name","age.greater.than.100",TRUE,0.02039,32,0.2243,0.633
"ANPP_1","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.009385,150,0.06699,0.8832
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.100",TRUE,4.013e-08,130,0.3631,0.8252
"ANPP_repro","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.04075,65,0.06772,0.683
"ANPP_1","lat","geographic.area/plot.name","age.greater.than.100",TRUE,8.245e-08,176,0.2434,0.8893
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.100",TRUE,2.315e-13,155,0.5184,0.8107
"ANPP_repro","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.735,66,0.01183,0.4131
"ANPP_1","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,2.307e-07,175,0.2081,0.8873
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,1.859e-16,155,0.5685,0.8305
"ANPP_repro","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.08822,66,0.1047,0.5119
"ANPP_1","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,2.724e-06,175,0.1817,0.8823
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,6.343e-13,155,0.5154,0.8119
"ANPP_repro","TempSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.1333,66,0.05291,0.4638
"ANPP_1","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,8.637e-06,175,0.1609,0.8784
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,1.413e-13,155,0.5378,0.7965
"ANPP_repro","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.1264,66,0.0786,0.459
"ANPP_1","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,6.893e-05,175,0.114,0.8772
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,1.133e-07,155,0.2789,0.7601
