"response","fixed","random","equation","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"GPP","mat","geographic.area/plot.name","GPP = -0.03 + mat x 12.56 + ( mat ^2) x 0.28","age.greater.than.100",TRUE,7.941e-11,220,0.6889,0.9678
"NPP","mat","geographic.area/plot.name","NPP = 0.01 + mat x 5.72 + ( mat ^2) x 0.47","age.greater.than.100",TRUE,2.379e-08,72,0.5229,0.8442
"BNPP_root","mat","geographic.area/plot.name","BNPP_root = -0.05 + mat x 4.88 + ( mat ^2) x 0.58","age.greater.than.100",TRUE,2.199e-05,82,0.3217,0.7682
"GPP","map","geographic.area/plot.name","GPP = 0.09 + map x 9.53 + ( map ^2) x -5.29","age.greater.than.100",TRUE,0.0001961,221,0.4457,0.9731
"NPP","map","geographic.area/plot.name","NPP = 0.02 + map x 3.68 + ( map ^2) x -3.8","age.greater.than.100",TRUE,9.171e-09,72,0.4115,0.9103
"BNPP_root","map","geographic.area/plot.name","BNPP_root = 0.01 + map x 2.68 + ( map ^2) x -3.82","age.greater.than.100",TRUE,0.0001415,86,0.2394,0.8445
"GPP","lat","geographic.area/plot.name","GPP = -0.05 + lat x -13.48 + ( lat ^2) x 1.85","age.greater.than.100",TRUE,9.614e-13,244,0.6878,0.9667
"NPP","lat","geographic.area/plot.name","NPP = 0.04 + lat x -6.32 + ( lat ^2) x 0.11","age.greater.than.100",TRUE,3.483e-07,82,0.4788,0.8607
"BNPP_root","lat","geographic.area/plot.name","BNPP_root = -0.01 + lat x -6.34 + ( lat ^2) x 0.28","age.greater.than.100",TRUE,2.171e-07,96,0.3867,0.8372
"GPP","AnnualMeanTemp","geographic.area/plot.name","GPP = -0.05 + AnnualMeanTemp x 13.26 + ( AnnualMeanTemp ^2) x 1.89","age.greater.than.100",TRUE,7.706e-14,244,0.6954,0.9654
"NPP","AnnualMeanTemp","geographic.area/plot.name","NPP = 0 + AnnualMeanTemp x 6.25 + ( AnnualMeanTemp ^2) x 0.16","age.greater.than.100",TRUE,1.424e-08,82,0.5178,0.8371
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","BNPP_root = -0.03 + AnnualMeanTemp x 5.82 + ( AnnualMeanTemp ^2) x 0.3","age.greater.than.100",TRUE,9.329e-07,96,0.3565,0.7929
"GPP","TempSeasonality","geographic.area/plot.name","GPP = 0.04 + TempSeasonality x -12.41 + ( TempSeasonality ^2) x 5.24","age.greater.than.100",TRUE,5.39e-16,244,0.7303,0.9639
