"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","AICsig"
"GPP","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.6007,221,0.6973,0.9677,FALSE
"NPP","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.7674,101,0.519,0.8117,FALSE
"ANPP","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.2257,257,0.038,0.673,FALSE
"GPP","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.006307,222,0.4694,0.9736,TRUE
"NPP","map","geographic.area/plot.name","age.greater.than.100",TRUE,1.02e-09,101,0.4469,0.8826,TRUE
"ANPP","map","geographic.area/plot.name","age.greater.than.100",FALSE,0.1542,276,0.09609,0.6996,TRUE
"GPP","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.1656,245,0.6958,0.9674,FALSE
"NPP","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.9855,115,0.5317,0.8562,FALSE
"ANPP","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.1693,325,0.09662,0.639,FALSE
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.1679,245,0.7019,0.966,FALSE
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.8196,115,0.5425,0.8259,FALSE
"ANPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.3035,324,0.064,0.6088,FALSE
"GPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",FALSE,0.2252,245,0.03346,0.9742,FALSE
"NPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",FALSE,0.1401,115,0.02502,0.8532,TRUE
"ANPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",TRUE,0.02086,324,0.08523,0.6987,TRUE
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.0008729,245,0.7221,0.9653,TRUE
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.107,115,0.5187,0.8617,TRUE
"ANPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.4282,324,0.07155,0.6412,FALSE
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,0.001546,245,0.725,0.9671,TRUE
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.05787,115,0.5415,0.8518,TRUE
"ANPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.811,324,0.092,0.6398,FALSE
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.1987,245,0.4853,0.9674,FALSE
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.05945,115,0.261,0.7916,TRUE
"ANPP","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.3111,324,0.06221,0.6548,FALSE
"GPP","PreSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.09768,245,0.03321,0.9757,TRUE
"NPP","PreSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.4121,115,0.01271,0.8536,FALSE
"ANPP","PreSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.05277,324,0.08421,0.782,TRUE
"GPP","CloudCover","geographic.area/plot.name","age.greater.than.100",FALSE,0.0514,245,0.02759,0.9745,TRUE
"NPP","CloudCover","geographic.area/plot.name","age.greater.than.100",FALSE,0.988,115,0.03034,0.8483,FALSE
"ANPP","CloudCover","geographic.area/plot.name","age.greater.than.100",TRUE,0.01822,325,0.04979,0.7593,TRUE
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.2529,245,0.5942,0.9669,FALSE
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.7689,115,0.5483,0.8527,FALSE
"ANPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.2644,325,0.03583,0.6266,FALSE
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.2111,245,0.4562,0.9686,FALSE
"NPP","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.6621,115,0.4413,0.8766,FALSE
"ANPP","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,0.003151,325,0.03045,0.7089,TRUE
"GPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.3005,245,0.1216,0.9708,FALSE
"NPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.1853,115,0.1324,0.8425,FALSE
"ANPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",TRUE,6.599e-08,325,0.1061,0.7695,TRUE
"GPP","VapourPressure","geographic.area/plot.name","age.greater.than.100",FALSE,0.7726,245,0.7526,0.9666,FALSE
"NPP","VapourPressure","geographic.area/plot.name","age.greater.than.100",FALSE,0.4896,115,0.5199,0.813,FALSE
"ANPP","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,0.005754,325,0.1386,0.6349,TRUE
"GPP","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.3619,245,0.2136,0.9697,FALSE
"NPP","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.7835,115,0.3669,0.8667,FALSE
"ANPP","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.08594,325,0.01164,0.7148,TRUE
"GPP","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.7166,116,0.6949,0.9675,FALSE
"NPP","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.5708,66,0.3724,0.7383,FALSE
"ANPP","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.07823,212,0.03862,0.7349,TRUE
"GPP","map","geographic.area/plot.name","age.greater.than.200",TRUE,0.01092,117,0.404,0.9653,TRUE
"NPP","map","geographic.area/plot.name","age.greater.than.200",TRUE,9.077e-07,66,0.2965,0.8696,TRUE
"ANPP","map","geographic.area/plot.name","age.greater.than.200",FALSE,0.2162,230,0.0471,0.6672,FALSE
"GPP","lat","geographic.area/plot.name","age.greater.than.200",FALSE,0.3933,129,0.6935,0.9691,FALSE
"NPP","lat","geographic.area/plot.name","age.greater.than.200",FALSE,0.3989,74,0.4431,0.8189,FALSE
"ANPP","lat","geographic.area/plot.name","age.greater.than.200",TRUE,0.002513,261,0.08015,0.6654,TRUE
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",FALSE,0.1089,129,0.7099,0.9695,TRUE
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",FALSE,0.6462,74,0.376,0.7643,FALSE
"ANPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",TRUE,0.008899,260,0.05308,0.6825,TRUE
"GPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",FALSE,0.09359,129,0.07777,0.9656,TRUE
"NPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",TRUE,0.04614,74,0.05377,0.8248,TRUE
"ANPP","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",TRUE,0.002317,260,0.1223,0.6506,TRUE
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.200",TRUE,0.004153,129,0.7306,0.9678,TRUE
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.22,74,0.4388,0.8217,FALSE
"ANPP","TempSeasonality","geographic.area/plot.name","age.greater.than.200",TRUE,4.297e-07,260,0.1392,0.7757,TRUE
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",TRUE,0.01466,129,0.721,0.9684,TRUE
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",FALSE,0.2899,74,0.4589,0.7978,FALSE
"ANPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",TRUE,5.032e-05,260,0.09906,0.7125,TRUE
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.200",FALSE,0.5343,129,0.4997,0.9686,FALSE
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.200",TRUE,0.02463,74,0.2155,0.7625,TRUE
"ANPP","AnnualPre","geographic.area/plot.name","age.greater.than.200",FALSE,0.1762,260,0.04554,0.6251,FALSE
"GPP","PreSeasonality","geographic.area/plot.name","age.greater.than.200",TRUE,0.03416,129,0.07666,0.9707,TRUE
"NPP","PreSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.2252,74,0.05147,0.8197,FALSE
"ANPP","PreSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.08786,260,0.1114,0.7591,TRUE
"GPP","CloudCover","geographic.area/plot.name","age.greater.than.200",FALSE,0.06719,129,0.04548,0.9696,TRUE
"NPP","CloudCover","geographic.area/plot.name","age.greater.than.200",FALSE,0.6758,74,0.0595,0.8119,FALSE
"ANPP","CloudCover","geographic.area/plot.name","age.greater.than.200",TRUE,0.01842,261,0.05835,0.731,TRUE
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.1525,129,0.5902,0.9659,TRUE
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.9285,74,0.3775,0.8096,FALSE
"ANPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",TRUE,0.02333,261,0.06077,0.7495,TRUE
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.200",FALSE,0.424,129,0.4384,0.9689,FALSE
"NPP","AnnualPET","geographic.area/plot.name","age.greater.than.200",FALSE,0.9554,74,0.3076,0.849,FALSE
"ANPP","AnnualPET","geographic.area/plot.name","age.greater.than.200",TRUE,0.006378,261,0.03591,0.6861,TRUE
"GPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.9637,129,0.1084,0.967,FALSE
"NPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.3684,74,0.1589,0.8076,FALSE
"ANPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",TRUE,2.145e-08,261,0.1316,0.7509,TRUE
