"response","fixed","random","equation","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"GPP","mat","geographic.area/plot.name","GPP = 8.26 + mat x 0.87","age.greater.than.100",TRUE,9.711e-12,220,0.7019,0.9676
"NPP","mat","geographic.area/plot.name","NPP = 3.41 + mat x 0.25","age.greater.than.100",TRUE,3.903e-09,72,0.5402,0.8427
"BNPP_root","mat","geographic.area/plot.name","BNPP_root = 0.84 + mat x 0.11","age.greater.than.100",TRUE,4.313e-06,82,0.3428,0.7617
"BNPP_root_fine","mat","geographic.area/plot.name","BNPP_root_fine = 1.47 + mat x 0.06","age.greater.than.100",TRUE,0.01827,72,0.112,0.4607
"GPP","map","geographic.area/plot.name","GPP = -46.03 + map x 9.41","age.greater.than.100",TRUE,0.001377,221,0.3127,0.9694
"NPP","map","geographic.area/plot.name","NPP = -6.09 + map x 1.77","age.greater.than.100",TRUE,0.0121,72,0.1883,0.7882
"BNPP_root","map","geographic.area/plot.name","BNPP_root = -4.33 + map x 0.93","age.greater.than.100",TRUE,0.0009467,86,0.158,0.8112
"BNPP_root_fine","map","geographic.area/plot.name","BNPP_root_fine = -2.64 + map x 0.69","age.greater.than.100",TRUE,0.01858,72,0.1086,0.5348
"GPP","lat","geographic.area/plot.name","GPP = 34.19 + lat x -0.46","age.greater.than.100",TRUE,4.139e-13,244,0.6852,0.9663
"NPP","lat","geographic.area/plot.name","NPP = 10.01 + lat x -0.11","age.greater.than.100",TRUE,4.972e-08,82,0.4962,0.8569
"BNPP_root","lat","geographic.area/plot.name","BNPP_root = 4.11 + lat x -0.06","age.greater.than.100",TRUE,3.136e-08,96,0.3989,0.8319
"BNPP_root_fine","lat","geographic.area/plot.name","BNPP_root_fine = 3 + lat x -0.03","age.greater.than.100",TRUE,0.004969,82,0.1404,0.5332
"GPP","AnnualMeanTemp","geographic.area/plot.name","GPP = 9.4 + AnnualMeanTemp x 0.81","age.greater.than.100",TRUE,2.659e-14,244,0.6863,0.9648
"NPP","AnnualMeanTemp","geographic.area/plot.name","NPP = 3.47 + AnnualMeanTemp x 0.24","age.greater.than.100",TRUE,1.895e-09,82,0.5366,0.8353
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","BNPP_root = 0.89 + AnnualMeanTemp x 0.11","age.greater.than.100",TRUE,1.442e-07,96,0.3721,0.7908
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name","BNPP_root_fine = 1.24 + AnnualMeanTemp x 0.06","age.greater.than.100",TRUE,0.001405,82,0.1729,0.4989
"GPP","MeanDiurnalRange","geographic.area/plot.name","GPP = 28.6 + MeanDiurnalRange x -0.69","age.greater.than.100",FALSE,0.1526,244,0.02241,0.9718
"NPP","MeanDiurnalRange","geographic.area/plot.name","NPP = 6.6 + MeanDiurnalRange x -0.02","age.greater.than.100",FALSE,0.9196,82,0.0002163,0.8505
"BNPP_root","MeanDiurnalRange","geographic.area/plot.name","BNPP_root = 2.6 + MeanDiurnalRange x -0.01","age.greater.than.100",FALSE,0.9345,96,0.0001271,0.8308
"BNPP_root_fine","MeanDiurnalRange","geographic.area/plot.name","BNPP_root_fine = 3.46 + MeanDiurnalRange x -0.11","age.greater.than.100",FALSE,0.3259,82,0.01886,0.5118
"GPP","TempSeasonality","geographic.area/plot.name","GPP = 31.74 + TempSeasonality x -0.19","age.greater.than.100",TRUE,3.875e-14,244,0.6671,0.9662
"NPP","TempSeasonality","geographic.area/plot.name","NPP = 9.23 + TempSeasonality x -0.05","age.greater.than.100",TRUE,1.838e-07,82,0.4683,0.8593
"BNPP_root","TempSeasonality","geographic.area/plot.name","BNPP_root = 3.84 + TempSeasonality x -0.03","age.greater.than.100",TRUE,6.63e-08,96,0.3966,0.8426
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name","BNPP_root_fine = 2.76 + TempSeasonality x -0.01","age.greater.than.100",TRUE,0.01211,82,0.1201,0.5428
"GPP","TempRangeAnnual","geographic.area/plot.name","GPP = 39.07 + TempRangeAnnual x -0.67","age.greater.than.100",TRUE,1.985e-14,244,0.6855,0.9679
"NPP","TempRangeAnnual","geographic.area/plot.name","NPP = 11.14 + TempRangeAnnual x -0.18","age.greater.than.100",TRUE,9.478e-08,82,0.4826,0.8556
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","BNPP_root = 4.84 + TempRangeAnnual x -0.1","age.greater.than.100",TRUE,8.421e-08,96,0.3842,0.8445
"BNPP_root_fine","TempRangeAnnual","geographic.area/plot.name","BNPP_root_fine = 3.25 + TempRangeAnnual x -0.04","age.greater.than.100",TRUE,0.008181,82,0.1282,0.5458
"GPP","AnnualPre","geographic.area/plot.name","GPP = -63.52 + AnnualPre x 11.81","age.greater.than.100",TRUE,2.419e-08,244,0.4564,0.9655
"NPP","AnnualPre","geographic.area/plot.name","NPP = -7.79 + AnnualPre x 1.99","age.greater.than.100",TRUE,0.0001601,82,0.2096,0.7762
"BNPP_root","AnnualPre","geographic.area/plot.name","BNPP_root = -3.96 + AnnualPre x 0.89","age.greater.than.100",TRUE,0.0006868,96,0.1205,0.7888
"BNPP_root_fine","AnnualPre","geographic.area/plot.name","BNPP_root_fine = -1.75 + AnnualPre x 0.55","age.greater.than.100",TRUE,0.03586,82,0.07763,0.5244
"GPP","PreSeasonality","geographic.area/plot.name","GPP = 19.69 + PreSeasonality x 0.03","age.greater.than.100",FALSE,0.4612,244,0.004022,0.9732
"NPP","PreSeasonality","geographic.area/plot.name","NPP = 7.14 + PreSeasonality x -0.02","age.greater.than.100",FALSE,0.4562,82,0.009004,0.8481
"BNPP_root","PreSeasonality","geographic.area/plot.name","BNPP_root = 2.14 + PreSeasonality x 0.01","age.greater.than.100",FALSE,0.4021,96,0.009136,0.8384
"BNPP_root_fine","PreSeasonality","geographic.area/plot.name","BNPP_root_fine = 2.38 + PreSeasonality x 0","age.greater.than.100",FALSE,0.7794,82,0.001781,0.4993
"GPP","CloudCover","geographic.area/plot.name","GPP = 20.72 + CloudCover x 0.01","age.greater.than.100",FALSE,0.9523,244,2.884e-05,0.9731
"NPP","CloudCover","geographic.area/plot.name","NPP = -0.9 + CloudCover x 0.1","age.greater.than.100",FALSE,0.1628,82,0.04359,0.8467
"BNPP_root","CloudCover","geographic.area/plot.name","BNPP_root = 1.15 + CloudCover x 0.02","age.greater.than.100",FALSE,0.462,96,0.007911,0.8287
"BNPP_root_fine","CloudCover","geographic.area/plot.name","BNPP_root_fine = 1.9 + CloudCover x 0.01","age.greater.than.100",FALSE,0.858,82,0.000776,0.5024
"GPP","AnnualFrostDays","geographic.area/plot.name","GPP = 28.29 + AnnualFrostDays x -0.07","age.greater.than.100",TRUE,7.969e-11,244,0.5835,0.9655
"NPP","AnnualFrostDays","geographic.area/plot.name","NPP = 9.07 + AnnualFrostDays x -0.03","age.greater.than.100",TRUE,5.346e-09,82,0.5244,0.8528
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","BNPP_root = 3.53 + AnnualFrostDays x -0.01","age.greater.than.100",TRUE,2.801e-07,96,0.3519,0.8257
"BNPP_root_fine","AnnualFrostDays","geographic.area/plot.name","BNPP_root_fine = 2.8 + AnnualFrostDays x -0.01","age.greater.than.100",TRUE,0.0008757,82,0.1842,0.5113
