"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.711e-12,220,0.6896,0.9679,1.987
"NPP","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.903e-09,72,0.5264,0.8449,1.947
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.313e-06,82,0.3315,0.7666,2.001
"BNPP_root_fine","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01827,72,0.1072,0.4813,2.37
"GPP","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001961,221,0.4457,0.9731,8.369
"NPP","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.171e-09,72,0.4115,0.9103,34.28
"BNPP_root","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001415,86,0.2394,0.8445,11.66
"BNPP_root_fine","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.02283,72,0.08414,0.5699,2.009
"GPP","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.614e-13,244,0.6878,0.9667,0.6622
"NPP","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.972e-08,82,0.4847,0.8593,2.318
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.136e-08,96,0.3909,0.8351,2.212
"BNPP_root_fine","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004969,82,0.1366,0.5493,1.714
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,7.706e-14,244,0.6952,0.9654,0.3143
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.895e-09,82,0.5241,0.8374,2.274
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.442e-07,96,0.3625,0.7943,2.173
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001405,82,0.1673,0.5153,2.31
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.39e-16,244,0.7303,0.9639,10.98
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.838e-07,82,0.4568,0.8618,0.2751
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.908e-08,96,0.4085,0.8502,1.842
