"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","slope","lowerCI","upperCI"
"GPP","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.716e-11,189,0.7245,0.9975,0.3674,105.2,82.8612707402994,127.547901820325
"NPP","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.277e-09,61,0.7574,0.9783,0.792,19.74,15.6366469126984,23.8392224685344
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0002331,68,0.4087,0.9789,1.911,7.63,4.35596495947815,10.912237164002
"BNPP_root_fine","mat","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2293,60,0.1511,0.851,2.479,2.78,-0.647134882981496,6.21478742051972
"GPP","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.568e-05,189,0.5506,0.9977,3.585,60.01,27.2103447361885,92.8177959522593
"NPP","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.328e-09,60,0.4378,0.9914,34.98,-8.7,-13.5358290928691,-3.85735870122143
"BNPP_root","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01899,71,0.2037,0.9812,7.291,-0.25,-3.59567414404902,3.08665393884685
"BNPP_root_fine","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1408,59,0.1912,0.8618,2.54,3.61,-0.162693999114482,7.38749603003009
"GPP","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.403e-11,209,0.6982,0.9972,1.861,-99.23,-119.679273659526,-78.7822376617698
"NPP","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.888e-09,69,0.69,0.9826,2.285,-22.11,-27.2473223020261,-16.982185615019
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.096e-07,81,0.4832,0.9832,2.111,-10.15,-13.3642972290104,-6.93399731763707
"BNPP_root_fine","lat","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1689,68,0.1482,0.8794,1.775,-3.25,-6.84937825081624,0.343186948142121
"GPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.716e-11,209,0.6902,0.9972,0.4399,105.22,82.2808359115406,128.165725416967
