"Modnames","AICc","Delta_AICc","Marginal","Conditional","response.variable"
"mean ~ poly(TempSeasonality, 2, raw = T)+masl+(1|geographic.area/plot.name)",1239.4215145517,0,0.755273724698569,0.959376604750266,"GPP"
"mean ~ poly(TempSeasonality, 2, raw = T)+(1|geographic.area/plot.name)",1241.86010718543,2.43859263372246,0.729514361128072,0.960994506174581,"GPP"
"mean ~ poly(TempRangeAnnual, 2, raw = T)+(1|geographic.area/plot.name)",1249.94240934483,10.5208947931269,0.702186730353352,0.959505185890483,"GPP"
"mean ~ poly(TempRangeAnnual, 2, raw = T)+masl+(1|geographic.area/plot.name)",1251.97319884664,12.5516842949344,0.703380532588829,0.95923875893891,"GPP"
"mean ~ poly(lat, 2, raw = T)+masl+(1|geographic.area/plot.name)",1254.50057604852,15.0790614968148,0.683093409597432,0.962151973846074,"GPP"
"mean ~ poly(lat, 1, raw = T)+masl+(1|geographic.area/plot.name)",1254.7497422698,15.328227718099,0.678771084867936,0.962713989587004,"GPP"
"mean ~ poly(TempSeasonality, 1, raw = T)+masl+(1|geographic.area/plot.name)",1255.76768408597,16.3461695342667,0.680969489346958,0.962549675846715,"GPP"
"mean ~ poly(lat, 2, raw = T)+(1|geographic.area/plot.name)",1256.49223818305,17.0707236313428,0.660531336379703,0.962968484917158,"GPP"
"mean ~ poly(mat, 1, raw = T)+(1|geographic.area/plot.name)",389.474700676835,0,0.520009379768436,0.793083753445726,"NPP"
"mean ~ poly(lat, 1, raw = T)+masl+(1|geographic.area/plot.name)",391.222004007597,1.74730333076201,0.520114402837641,0.810402685073159,"NPP"
"mean ~ poly(mat, 2, raw = T)+(1|geographic.area/plot.name)",391.290116932733,1.81541625589858,0.522727960998506,0.79249674970631,"NPP"
"mean ~ poly(mat, 1, raw = T)+masl+(1|geographic.area/plot.name)",391.502653441975,2.02795276514007,0.519780969949958,0.784992583196669,"NPP"
"mean ~ poly(TempSeasonality, 2, raw = T)+masl+(1|geographic.area/plot.name)",391.947108818177,2.47240814134273,0.531365326866988,0.808189588066306,"NPP"
"mean ~ poly(lat, 2, raw = T)+masl+(1|geographic.area/plot.name)",393.550716867125,4.07601619029037,0.520188096377225,0.809699796598636,"NPP"
"mean ~ poly(mat, 2, raw = T)+masl+(1|geographic.area/plot.name)",393.552184902819,4.07748422598479,0.522148385497265,0.787971936547371,"NPP"
"mean ~ poly(TempSeasonality, 1, raw = T)+masl+(1|geographic.area/plot.name)",393.764446226913,4.28974555007864,0.491412115035838,0.800941686565501,"NPP"
"mean ~ poly(lat, 1, raw = T)+(1|geographic.area/plot.name)",338.854277786595,0,0.32492622422433,0.714760258753037,"BNPP_root"
"mean ~ poly(PotentialEvapotranspiration, 2, raw = T)+(1|geographic.area/plot.name)",338.981743645506,0.127465858910966,0.348923446746008,0.695928627805093,"BNPP_root"
"mean ~ poly(TempSeasonality, 1, raw = T)+(1|geographic.area/plot.name)",339.265026778504,0.410748991909372,0.322923002485456,0.717190972856099,"BNPP_root"
"mean ~ poly(TempSeasonality, 2, raw = T)+(1|geographic.area/plot.name)",339.550720092246,0.69644230565126,0.3377860590887,0.720445503255007,"BNPP_root"
"mean ~ poly(TempRangeAnnual, 2, raw = T)+(1|geographic.area/plot.name)",339.887757709034,1.03347992243897,0.308078367187221,0.718662885764172,"BNPP_root"
"mean ~ poly(lat, 1, raw = T)+masl+(1|geographic.area/plot.name)",340.711941310194,1.85766352359906,0.323148639716622,0.70161299347143,"BNPP_root"
"mean ~ poly(PotentialEvapotranspiration, 2, raw = T)+masl+(1|geographic.area/plot.name)",340.858132041466,2.00385425487178,0.349381886613427,0.676454375304056,"BNPP_root"
"mean ~ poly(lat, 2, raw = T)+(1|geographic.area/plot.name)",340.893089281576,2.03881149498096,0.328169201744861,0.713024288309113,"BNPP_root"
"mean ~ poly(AnnualFrostDays, 1, raw = T)+(1|geographic.area/plot.name)",303.561192653505,0,0.167313520092569,0.65157188977548,"BNPP_root_fine"
"mean ~ poly(TempRangeAnnual, 1, raw = T)+(1|geographic.area/plot.name)",303.772102898514,0.210910245009416,0.168587569687544,0.67027546417296,"BNPP_root_fine"
