Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,Variable,Rsq
mod.mat,5,126.4261716,0,1,0.999246373,-58.08650352,0.999246373,GPP,0.619678043
mod.growing,5,140.8058885,14.37971688,0.000754196,0.000753627,-65.27636196,1,GPP,0.541193523
mod,4,178.961789,52.53561736,3.91E-12,3.91E-12,-85.39686087,1,GPP,0
mod.mat,5,174.8824898,0,1,0.999758239,-82.09240771,0.999758239,NPP,0.515661433
mod.growing,5,191.53714,16.65465019,0.000241818,0.00024176,-90.41973281,0.999999999,NPP,0.400699864
mod,4,216.1697553,41.28726543,1.08E-09,1.08E-09,-103.8549926,1,NPP,0
mod.mat,5,249.5051184,0,1,0.912983674,-119.4367697,0.912983674,BNPP_root,0.292594973
mod.growing,5,254.207627,4.702508581,0.095249617,0.086961345,-121.788024,0.999945019,BNPP_root,0.261218739
mod,4,268.9400844,19.43496596,6.02E-05,5.50E-05,-130.2617089,1,BNPP_root,0
mod.mat,5,235.9579735,0,1,0.64876674,-112.6131331,0.64876674,BNPP_root_fine,0.154880049
mod.growing,5,237.289916,1.331942492,0.513774284,0.333319668,-113.2791044,0.982086408,BNPP_root_fine,0.137024336
mod,4,243.1370005,7.179026943,0.027611761,0.017913592,-117.3275364,1,BNPP_root_fine,0
mod.mat,5,484.8761003,0,1,0.999999985,-237.3180501,0.999999985,ANPP,0.446262909
mod.growing,5,520.9648226,36.08872233,1.46E-08,1.46E-08,-255.3624113,1,ANPP,0.349775009
mod,4,560.3491493,75.47304897,4.09E-17,4.09E-17,-276.0948934,1,ANPP,0
mod.mat,5,184.5447981,0,1,0.999962496,-86.94631212,0.999962496,ANPP_foliage,0.59212819
mod.growing,5,204.9268526,20.38205447,3.75E-05,3.75E-05,-97.13733935,1,ANPP_foliage,0.464411587
mod,4,237.4655413,52.92074314,3.22E-12,3.22E-12,-114.5177169,1,ANPP_foliage,0
mod.mat,5,540.1921664,0,1,0.999997927,-264.9798041,0.999997927,ANPP_woody_stem,0.242953967
mod.growing,5,566.3695548,26.1773884,2.07E-06,2.07E-06,-278.0684983,0.999999996,ANPP_woody_stem,0.106002853
mod,4,578.6552852,38.46311877,4.44E-09,4.44E-09,-285.2504225,1,ANPP_woody_stem,0
mod.mat,5,45.2581756,0,1,0.9238101,-15.7540878,0.9238101,R_auto,0.627113299
mod.growing,5,50.35514811,5.096972506,0.078199951,0.072241905,-18.30257405,0.996052005,R_auto,0.504100395
mod,4,56.16877281,10.91059721,0.0042736,0.003947995,-22.90791582,1,R_auto,0
mod.mat,5,133.5350049,0,1,0.758350533,-61.25026108,0.758350533,R_auto_root,0.250763079
mod.growing,5,135.9263159,2.39131096,0.302505603,0.229405285,-62.44591656,0.987755818,R_auto_root,0.199048944
mod,4,141.7871947,8.252189758,0.016145807,0.012244182,-66.55461429,1,R_auto_root,0
