"response.variable","PC","significant","p.value","Rsq.R2m","Rsq.R2c"
"GPP",1,TRUE,2.756e-11,0.5929,0.9651
"GPP",2,FALSE,0.2769,0.02701,0.9696
"NPP",1,TRUE,7.968e-07,0.3257,0.8183
"NPP",2,FALSE,0.4881,0.01416,0.8334
"BNPP_root",1,TRUE,0.0004741,0.2443,0.7778
"BNPP_root",2,FALSE,0.7206,0.01088,0.79
"BNPP_root_fine",1,TRUE,0.01604,0.1477,0.6787
"BNPP_root_fine",2,FALSE,0.6655,0.01425,0.6992
"ANPP",1,TRUE,3.542e-12,0.3635,0.8339
"ANPP",2,TRUE,0.0003665,0.1118,0.88
"ANPP_foliage",1,TRUE,1.733e-09,0.5771,0.7752
"ANPP_foliage",2,FALSE,0.2435,0.05071,0.8243
"ANPP_woody_stem",1,TRUE,8.384e-09,0.2272,0.8772
"ANPP_woody_stem",2,TRUE,0.0003124,0.08717,0.8954
"R_auto",1,TRUE,1.104e-05,0.8611,0.9577
"R_auto",2,TRUE,0.01609,0.5422,0.9131
"R_auto_root",1,TRUE,0.01884,0.2493,0.8372
"R_auto_root",2,FALSE,0.6976,0.02759,0.8459
