"date.run","response","fixed","altitude_included","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","linear.slope","number.plots","geographic.areas"
2020-08-02,"GPP","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,1.462e-13,243,0.61,0.95,52.5,0.08819,79,49
2020-08-02,"NPP","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,3.987e-11,161,0.42,0.81,41.5,0.07076,106,56
2020-08-02,"BNPP_root","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,1.458e-06,101,0.31,0.6,21,0.06435,87,48
2020-08-02,"BNPP_root_fine","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.002136,88,0.15,0.64,7.2,0.04689,83,41
2020-08-02,"GPP","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,2.687e-09,243,0.18,0.96,33.3,0.00047,79,49
2020-08-02,"NPP","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,2.787e-05,161,0.21,0.85,16.7,2e-05,106,56
2020-08-02,"BNPP_root","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,0.004807,101,0.15,0.72,6.2,0.00013,87,48
2020-08-02,"BNPP_root_fine","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.005805,88,0.11,0.77,5.4,0.00029,83,41
2020-08-02,"GPP","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,4.321e-14,243,0.64,0.96,54.9,-0.05036,79,49
2020-08-02,"NPP","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,9.677e-12,161,0.5,0.85,44.3,-0.03693,106,56
2020-08-02,"BNPP_root","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,5.282e-07,101,0.34,0.7,22.9,-0.03121,87,48
2020-08-02,"BNPP_root_fine","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.001357,88,0.17,0.71,8,-0.02304,83,41
2020-08-02,"GPP","TempSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,9.838e-17,243,0.71,0.96,69.5,-2.12691,79,49
2020-08-02,"NPP","TempSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,9.653e-12,161,0.52,0.85,44.3,-1.5676,106,56
2020-08-02,"BNPP_root","TempSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,7.78e-08,101,0.36,0.74,26.6,-1.6262,87,48
2020-08-02,"BNPP_root_fine","TempSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.001082,88,0.17,0.72,8.4,-1.14517,83,41
2020-08-02,"GPP","TempRangeAnnual",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,2.611e-15,243,0.69,0.96,63,-0.07103,79,49
2020-08-02,"NPP","TempRangeAnnual",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,2.692e-11,161,0.49,0.83,42.3,-0.05491,106,56
2020-08-02,"BNPP_root","TempRangeAnnual",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,3.784e-07,101,0.33,0.71,23.6,-0.05388,87,48
2020-08-02,"BNPP_root_fine","TempRangeAnnual",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.0002878,88,0.19,0.73,10.9,-0.0409,83,41
2020-08-02,"GPP","AnnualFrostDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,5.296e-13,243,0.54,0.96,50,-0.00816,79,49
2020-08-02,"NPP","AnnualFrostDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,1.823e-10,161,0.4,0.84,38.5,-0.00745,106,56
2020-08-02,"BNPP_root","AnnualFrostDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,3.81e-06,101,0.28,0.69,19.1,-0.00702,87,48
2020-08-02,"BNPP_root_fine","AnnualFrostDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.000724,88,0.16,0.7,9.2,-0.00543,83,41
2020-08-02,"GPP","AnnualWetDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.005363,243,0.11,0.96,5.7,0.0083,79,49
2020-08-02,"NPP","AnnualWetDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.002129,161,0.11,0.85,7.3,0.00665,106,56
2020-08-02,"BNPP_root","AnnualWetDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,0.01996,101,0.11,0.7,3.4,0.00169,87,48
2020-08-02,"BNPP_root_fine","AnnualWetDays",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.02593,88,0.08,0.7,2.7,0.00547,83,41
2020-08-02,"GPP","Aridity",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1108,243,0.01,0.96,0.5,2e-05,79,49
2020-08-02,"NPP","Aridity",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.02636,161,0.04,0.83,2.8,3e-05,106,56
2020-08-02,"BNPP_root","Aridity",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1139,101,0.03,0.7,0.3,3e-05,87,48
2020-08-02,"BNPP_root_fine","Aridity",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.03086,88,0.06,0.74,2.4,3e-05,83,41
2020-08-02,"GPP","PotentialEvapotranspiration",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,6.419e-06,243,0.36,0.97,19.7,0.00145,79,49
2020-08-02,"NPP","PotentialEvapotranspiration",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,6.33e-07,161,0.32,0.86,24.3,0.00116,106,56
2020-08-02,"BNPP_root","PotentialEvapotranspiration",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,9.597e-07,101,0.36,0.67,23.2,0.00136,87,48
2020-08-02,"BNPP_root_fine","PotentialEvapotranspiration",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.002279,88,0.14,0.69,7.1,0.0013,83,41
2020-08-02,"GPP","VapourPressureDeficit",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,4.254e-05,243,0.31,0.96,15.9,1.53301,79,49
2020-08-02,"NPP","VapourPressureDeficit",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,5.485e-05,161,0.18,0.83,15.3,1.5128,106,56
2020-08-02,"BNPP_root","VapourPressureDeficit",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,0.0001039,101,0.26,0.62,13.9,1.71887,87,48
2020-08-02,"BNPP_root_fine","VapourPressureDeficit",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.04131,88,0.06,0.66,1.9,1.19818,83,41
2020-08-02,"GPP","SolarRadiation",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.0009149,243,0.16,0.96,8.9,0,79,49
2020-08-02,"NPP","SolarRadiation",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,0.0002287,161,0.16,0.85,12.5,0,106,56
2020-08-02,"BNPP_root","SolarRadiation",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,8.797e-06,101,0.29,0.72,18.8,1e-05,87,48
2020-08-02,"BNPP_root_fine","SolarRadiation",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.002142,88,0.14,0.74,7.2,0,83,41
2020-08-02,"GPP","PreSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1543,243,0.03,0.96,0.1,0.00746,79,49
2020-08-02,"NPP","PreSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7713,161,0,0.85,2,-0.00108,106,56
2020-08-02,"BNPP_root","PreSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7391,101,0,0.71,2.1,0.0016,87,48
2020-08-02,"BNPP_root_fine","PreSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.92,88,0,0.7,2.2,-0.00028,83,41
2020-08-02,"GPP","MaxVPD",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.458,243,0.01,0.96,1.5,0.24618,79,49
2020-08-02,"NPP","MaxVPD",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3108,161,0.01,0.85,1.1,0.30964,106,56
2020-08-02,"BNPP_root","MaxVPD",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1769,101,0.03,0.69,0.4,0.51144,87,48
2020-08-02,"BNPP_root_fine","MaxVPD",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.8759,88,0,0.7,2.2,0.07079,83,41
2020-08-02,"GPP","WaterStressMonths",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5013,243,0,0.96,1.6,-0.01362,79,49
2020-08-02,"NPP","WaterStressMonths",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.01293,158,0.04,0.84,4,-0.0544,104,55
2020-08-02,"BNPP_root","WaterStressMonths",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3799,99,0.01,0.71,1.4,-0.03143,85,47
2020-08-02,"BNPP_root_fine","WaterStressMonths",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.09174,82,0.04,0.72,0.6,-0.06437,77,37
2020-08-02,"GPP","length_growing_season",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,2.245e-10,243,0.53,0.96,38.2,0.22789,79,49
2020-08-02,"NPP","length_growing_season",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,3.301e-08,161,0.38,0.85,28.4,0.20164,106,56
2020-08-02,"BNPP_root","length_growing_season",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,3.843e-05,101,0.26,0.71,14.7,0.18217,87,48
2020-08-02,"BNPP_root_fine","length_growing_season",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.004434,88,0.13,0.71,5.8,0.14016,83,41
2020-08-02,"GPP","CloudCover",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1532,243,0.03,0.96,0,0.02273,79,49
2020-08-02,"NPP","CloudCover",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,0.01673,161,0.06,0.84,3.6,0.02965,106,56
2020-08-02,"BNPP_root","CloudCover",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7291,101,0,0.7,2.1,0.00483,87,48
2020-08-02,"BNPP_root_fine","CloudCover",FALSE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.8197,88,0,0.7,2.2,0.00319,83,41
2020-08-02,"ANPP","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,1.023e-19,278,0.44,0.8,80.5,0.0769,177,86
2020-08-02,"ANPP_foliage","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,1.121e-13,98,0.58,0.79,52.9,0.08602,94,49
2020-08-02,"ANPP_woody_stem","mat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,1.925e-10,264,0.24,0.83,38.5,0.06118,252,96
2020-08-02,"ANPP","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,6.615e-06,278,0.16,0.8,19.7,3e-05,177,86
2020-08-02,"ANPP_foliage","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.poly",TRUE,0.0001393,98,0.25,0.78,13.3,0.00014,94,49
2020-08-02,"ANPP_woody_stem","map",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,0.002247,264,0.05,0.82,7.3,1e-04,252,96
2020-08-02,"ANPP","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,5.792e-16,278,0.44,0.81,63.4,-0.03534,177,86
2020-08-02,"ANPP_foliage","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,2.649e-10,98,0.5,0.8,37.7,-0.03674,94,49
2020-08-02,"ANPP_woody_stem","lat",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim",TRUE,8.173e-07,264,0.18,0.84,22.2,-0.02552,252,96
2020-08-02,"ANPP","TempSeasonality",FALSE,"geographic.area/plot.name","age.greater.than.100","mod.clim.log",TRUE,6.278e-15,278,0.41,0.79,58.7,-1.54046,177,86
