"date.run","response","fixed","altitude_included","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","linear.slope"
2019-04-09,"GPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.716e-11,189,0.7245,0.9975,0.3674,0.82005
2019-04-09,"NPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.278e-09,61,0.7574,0.9783,0.792,0.799
2019-04-09,"BNPP_root","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0002331,68,0.4087,0.9789,1.911,0.55068
2019-04-09,"BNPP_root_fine","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2293,60,0.1511,0.851,2.479,0.24014
2019-04-09,"GPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.568e-05,189,0.5506,0.9977,3.585,0.4678
2019-04-09,"NPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.329e-09,60,0.4378,0.9914,34.98,-0.35215
2019-04-09,"BNPP_root","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01899,71,0.2037,0.9812,7.291,-0.01756
2019-04-09,"BNPP_root_fine","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1408,59,0.1912,0.8618,2.54,0.31162
2019-04-09,"GPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.403e-11,209,0.6982,0.9972,1.861,-0.76021
2019-04-09,"NPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.888e-09,69,0.69,0.9826,2.285,-0.8696
2019-04-09,"BNPP_root","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.096e-07,81,0.4832,0.9832,2.111,-0.69292
2019-04-09,"BNPP_root_fine","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1689,68,0.1482,0.8794,1.775,-0.27234
2019-04-09,"GPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.716e-11,209,0.6902,0.9972,0.4399,0.80612
2019-04-09,"NPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.559e-09,69,0.728,0.9802,1.927,0.79567
2019-04-09,"BNPP_root","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.623e-06,81,0.4694,0.9831,1.065,0.64459
2019-04-09,"BNPP_root_fine","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.09478,68,0.1973,0.8788,2.463,0.30629
2019-04-09,"GPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.439e-13,209,0.7446,0.997,5.001,-0.796
2019-04-09,"NPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.68e-09,69,0.7037,0.9835,3.959,-0.79858
2019-04-09,"BNPP_root","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.469e-07,81,0.5363,0.9847,3.658,-0.70404
2019-04-09,"BNPP_root_fine","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1016,68,0.1847,0.8733,2.335,-0.29405
2019-04-09,"GPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.135e-12,209,0.7211,0.9971,2.973,-0.82961
2019-04-09,"NPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.911e-08,69,0.687,0.9839,3.634,-0.7682
2019-04-09,"BNPP_root","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.221e-07,81,0.5092,0.9855,5.44,-0.67239
2019-04-09,"BNPP_root_fine","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.07912,68,0.1801,0.8902,2.379,-0.31027
2019-04-09,"GPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.922e-07,209,0.4394,0.9975,1.274,0.59361
2019-04-09,"NPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.807e-05,69,0.5123,0.978,1.371,0.65965
2019-04-09,"BNPP_root","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.00286,81,0.2537,0.9831,1.68,0.38817
2019-04-09,"BNPP_root_fine","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5041,68,0.07967,0.8843,0.5918,0.17864
2019-04-09,"GPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.437e-08,209,0.5368,0.9972,1.145,-0.82004
2019-04-09,"NPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.826e-08,69,0.6988,0.9831,2.412,-0.82625
2019-04-09,"BNPP_root","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.279e-06,81,0.4278,0.9837,1.25,-0.6393
2019-04-09,"BNPP_root_fine","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.05593,68,0.2256,0.8951,2.362,-0.34817
2019-04-09,"GPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003231,209,0.1662,0.9977,0.198,0.22485
2019-04-09,"NPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.04178,69,0.1763,0.9866,0.8613,0.40043
2019-04-09,"BNPP_root","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",FALSE,0.06299,81,0.151,0.9847,3.926,0.1354
2019-04-09,"BNPP_root_fine","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7875,68,0.02739,0.8819,2.489,0.08506
2019-04-09,"GPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.081e-13,209,0.7274,0.997,1.288,0.842
2019-04-09,"NPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.438e-09,69,0.7375,0.9814,2.266,0.81217
2019-04-09,"BNPP_root","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.789e-07,81,0.5208,0.9842,0.5232,0.69978
2019-04-09,"BNPP_root_fine","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.09864,68,0.1959,0.8846,2.17,0.32927
2019-04-09,"GPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00507,209,0.1629,0.9977,1.452,0.1782
2019-04-09,"NPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1896,69,0.09362,0.9826,2.445,0.25099
2019-04-09,"BNPP_root","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3087,81,0.04541,0.9831,0.9746,0.20156
2019-04-09,"BNPP_root_fine","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5113,68,0.08457,0.8859,0.9182,0.19092
2019-04-09,"GPP","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.357e-06,209,0.5199,0.9974,10.3,0.48447
2019-04-09,"NPP","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.19e-06,69,0.6179,0.9814,2.479,0.78583
2019-04-09,"BNPP_root","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.588e-05,81,0.432,0.9833,7.513,0.50351
2019-04-09,"BNPP_root_fine","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1222,68,0.2097,0.8818,1.894,0.30404
2019-04-09,"GPP","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.291e-05,209,0.4886,0.9974,10.86,0.31431
2019-04-09,"NPP","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.226e-06,69,0.5452,0.9826,2.344,0.68808
2019-04-09,"BNPP_root","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0004498,81,0.3685,0.985,1.593,0.52423
2019-04-09,"BNPP_root_fine","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.326,68,0.1167,0.8737,1.007,0.21484
2019-04-09,"GPP","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.213e-05,209,0.3169,0.9973,1.322,0.45165
2019-04-09,"NPP","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.869e-07,69,0.587,0.988,1.232,0.8609
2019-04-09,"BNPP_root","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001235,81,0.3455,0.9847,1.302,0.55123
2019-04-09,"BNPP_root_fine","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2135,68,0.1628,0.8902,2.457,0.26364
