"date.run","response","fixed","altitude_included","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","linear.slope"
2019-05-20,"GPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.96e-12,201,0.7392,0.9972,0.7837,0.09145
2019-05-20,"NPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.658e-10,70,0.8021,0.9817,0.5075,0.08744
2019-05-20,"BNPP_root","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.666e-05,79,0.4642,0.9817,1.444,0.05892
2019-05-20,"BNPP_root_fine","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01366,71,0.2718,0.8876,1.406,0.03718
2019-05-20,"GPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.001e-05,201,0.5261,0.9974,2.732,0.00064
2019-05-20,"NPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.831e-11,69,0.4931,0.9924,41.93,-0.00029
2019-05-20,"BNPP_root","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.002817,82,0.2608,0.9847,10.58,0
2019-05-20,"BNPP_root_fine","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01239,70,0.2891,0.8957,1.935,0.00041
2019-05-20,"GPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.188e-13,221,0.7169,0.997,1.845,-0.04889
2019-05-20,"NPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.416e-10,78,0.7161,0.9844,2.185,-0.04088
2019-05-20,"BNPP_root","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.721e-08,92,0.5241,0.9849,1.901,-0.03376
2019-05-20,"BNPP_root_fine","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01317,79,0.2467,0.9063,0.4834,-0.01935
2019-05-20,"GPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.445e-12,221,0.7052,0.997,1.067,0.08595
2019-05-20,"NPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.845e-10,78,0.7672,0.9827,1.821,0.08467
2019-05-20,"BNPP_root","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.812e-08,92,0.5114,0.9848,0.6945,0.06658
2019-05-20,"BNPP_root_fine","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004534,79,0.2999,0.9073,1.912,0.04069
2019-05-20,"GPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,7.974e-15,221,0.7478,0.9968,7.574,-0.01968
2019-05-20,"NPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.938e-10,78,0.7448,0.9858,5.163,-0.01752
2019-05-20,"BNPP_root","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.886e-09,92,0.5745,0.9864,5.044,-0.01548
2019-05-20,"BNPP_root_fine","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004058,79,0.2966,0.9023,2.411,-0.00884
2019-05-20,"GPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.679e-14,221,0.731,0.9969,5.424,-0.06758
2019-05-20,"NPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.445e-09,78,0.7328,0.9862,4.793,-0.05995
2019-05-20,"BNPP_root","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.083e-08,92,0.5486,0.9872,6.503,-0.05129
2019-05-20,"BNPP_root_fine","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002537,79,0.3198,0.9041,2.387,-0.03137
2019-05-20,"GPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.139e-08,221,0.47,0.9973,0.0587,0.00083
2019-05-20,"NPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.895e-06,78,0.5544,0.9799,1.381,0.00079
2019-05-20,"BNPP_root","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001729,92,0.3226,0.9851,2.956,0.00043
2019-05-20,"BNPP_root_fine","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01348,79,0.3064,0.9098,4.07,0.00024
2019-05-20,"GPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.03e-09,221,0.5683,0.9971,1.113,-0.00855
2019-05-20,"NPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.957e-09,78,0.7383,0.9855,2.232,-0.0096
2019-05-20,"BNPP_root","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.958e-07,92,0.482,0.9856,0.9564,-0.00743
2019-05-20,"BNPP_root_fine","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002119,79,0.3528,0.9092,2.369,-0.00502
2019-05-20,"GPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001992,221,0.1635,0.9976,1.701,0.00484
2019-05-20,"NPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.03883,78,0.1781,0.9875,0.3653,0.00731
2019-05-20,"BNPP_root","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0213,92,0.1629,0.9861,5.514,0.00245
2019-05-20,"BNPP_root_fine","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7163,79,0.02878,0.902,1.528,0.00233
2019-05-20,"GPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.254e-14,221,0.7425,0.9969,1.282,10.85425
2019-05-20,"NPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.322e-10,78,0.7692,0.9832,2.002,10.58971
2019-05-20,"BNPP_root","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.081e-09,92,0.558,0.9856,0.5783,8.70434
2019-05-20,"BNPP_root_fine","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006088,79,0.2936,0.9116,1.626,5.09667
2019-05-20,"GPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002164,221,0.1794,0.9976,1.559,4e-05
2019-05-20,"NPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1459,78,0.0988,0.9836,2.408,4e-05
2019-05-20,"BNPP_root","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.09934,92,0.07671,0.9855,0.2176,3e-05
2019-05-20,"BNPP_root_fine","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.04799,79,0.2475,0.9154,0.8031,4e-05
2019-05-20,"GPP","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.448e-07,221,0.5278,0.9972,11.4,0.0015
2019-05-20,"NPP","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.559e-07,78,0.619,0.9839,2.556,0.0024
2019-05-20,"BNPP_root","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.044e-06,92,0.4774,0.985,8.198,0.00156
2019-05-20,"BNPP_root_fine","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.009558,79,0.2937,0.8983,0.07043,0.00125
2019-05-20,"GPP","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.639e-06,221,0.4956,0.9972,12.48,1.4638
2019-05-20,"NPP","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.189e-06,78,0.5493,0.9847,2.201,3.16577
2019-05-20,"BNPP_root","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.102e-05,92,0.4278,0.9866,2.4,2.45291
2019-05-20,"BNPP_root_fine","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.009567,79,0.3282,0.8985,4.595,1.36396
2019-05-20,"GPP","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.166e-05,221,0.3564,0.9972,1.327,1e-05
2019-05-20,"NPP","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.317e-08,78,0.5802,0.9891,0.7899,1e-05
2019-05-20,"BNPP_root","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.825e-06,92,0.3861,0.9862,1.291,1e-05
2019-05-20,"BNPP_root_fine","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01736,79,0.2458,0.9126,2.135,0
2019-05-20,"ANPP_1","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.516e-11,119,0.5093,0.9854,2.102,0.06959
2019-05-20,"ANPP_foliage","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.824e-12,79,0.6988,0.9894,1.946,0.07689
2019-05-20,"ANPP_1","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.445e-06,120,0.2529,0.9881,9.468,6e-05
2019-05-20,"ANPP_foliage","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.745e-05,85,0.4198,0.9847,13.28,0.00023
2019-05-20,"ANPP_1","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.417e-13,147,0.5349,0.9892,1.737,-0.03592
2019-05-20,"ANPP_foliage","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.371e-13,109,0.6449,0.9898,0.7483,-0.03694
2019-05-20,"ANPP_1","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.754e-08,147,0.3938,0.9869,2.924,0.05245
2019-05-20,"ANPP_foliage","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.998e-14,109,0.6843,0.9894,2.283,0.07722
2019-05-20,"ANPP_1","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.86e-10,147,0.4263,0.9857,2.05,-0.01413
2019-05-20,"ANPP_foliage","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.482e-11,109,0.5615,0.9892,0.8375,-0.01544
2019-05-20,"ANPP_1","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.315e-09,147,0.4078,0.9851,2.204,-0.04347
2019-05-20,"ANPP_foliage","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.857e-10,109,0.5417,0.9885,1.297,-0.04928
2019-05-20,"ANPP_1","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.521e-06,147,0.2271,0.9875,1.746,0.00025
2019-05-20,"ANPP_foliage","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.379e-06,109,0.3042,0.9862,4.494,0.00046
2019-05-20,"ANPP_1","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.876e-10,147,0.4697,0.9877,1.536,-0.00695
2019-05-20,"ANPP_foliage","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.38e-12,109,0.6243,0.9894,2.186,-0.00819
2019-05-20,"ANPP_1","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.051e-05,147,0.2119,0.9894,1.625,0.00254
2019-05-20,"ANPP_foliage","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003872,109,0.1301,0.9911,1.5,0.00639
2019-05-20,"ANPP_1","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.621e-07,147,0.3659,0.9882,0.2814,5.72733
2019-05-20,"ANPP_foliage","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.076e-12,109,0.6897,0.9896,2.971,9.10251
2019-05-20,"ANPP_1","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0001092,147,0.1611,0.9885,2.205,1e-05
2019-05-20,"ANPP_foliage","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005791,109,0.1108,0.9906,0.5786,4e-05
2019-05-20,"ANPP_1","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.084e-07,147,0.4265,0.9915,8.335,0.00069
2019-05-20,"ANPP_foliage","PotentialEvapotranspiration",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.748e-10,109,0.5334,0.9893,6.889,0.00192
2019-05-20,"ANPP_1","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.239e-05,147,0.2743,0.991,0.8618,0.62636
2019-05-20,"ANPP_foliage","VapourPressureDeficit",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.433e-10,109,0.4945,0.9874,6.071,2.90058
2019-05-20,"ANPP_1","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.706e-08,147,0.3275,0.9889,4.079,0
2019-05-20,"ANPP_foliage","SolarRadiation",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.617e-07,109,0.3711,0.9897,1.124,1e-05
2019-05-20,"ANPP_woody","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.046e-05,45,0.686,0.9886,2.81,0.06555
2019-05-20,"ANPP_woody_stem","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.742e-16,255,0.4415,0.9771,1.682,0.06381
2019-05-20,"ANPP_woody","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,7.196e-05,44,0.5708,0.9905,13.22,0.00018
2019-05-20,"ANPP_woody_stem","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.477e-10,257,0.2608,0.9799,2.253,0.00022
2019-05-20,"ANPP_woody","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.000146,63,0.4856,0.9871,2.429,-0.02487
2019-05-20,"ANPP_woody_stem","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.597e-16,286,0.4011,0.9837,0.4548,-0.02732
2019-05-20,"ANPP_woody","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.443e-05,63,0.5718,0.9874,0.2582,0.05822
2019-05-20,"ANPP_woody_stem","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.107e-13,286,0.3688,0.9819,0.4852,0.05181
2019-05-20,"ANPP_woody","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.533e-05,63,0.5848,0.9874,1.657,-0.0142
2019-05-20,"ANPP_woody_stem","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.689e-14,286,0.3288,0.9809,2.023,-0.01194
2019-05-20,"ANPP_woody","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.372e-05,63,0.5754,0.9874,1.87,-0.04784
2019-05-20,"ANPP_woody_stem","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.756e-13,286,0.3011,0.981,2.069,-0.03722
2019-05-20,"ANPP_woody","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.02372,63,0.1918,0.9859,2.486,0.00037
2019-05-20,"ANPP_woody_stem","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.782e-12,286,0.2873,0.9802,1.181,0.00032
2019-05-20,"ANPP_woody","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.599e-05,63,0.5385,0.9886,0.57,-0.00684
2019-05-20,"ANPP_woody_stem","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.446e-13,286,0.3348,0.9821,1.892,-0.00567
2019-05-20,"ANPP_woody","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.08267,63,0.1293,0.991,0.9458,0.00403
2019-05-20,"ANPP_woody_stem","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.112e-08,286,0.205,0.9843,7.309,0.00238
2019-05-20,"ANPP_woody","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0008399,63,0.4017,0.9873,2.421,5.99716
2019-05-20,"ANPP_woody_stem","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.016e-12,286,0.3586,0.9826,1.207,5.52721
