"date.run","response","fixed","altitude_included","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","linear.slope"
2019-05-20,"GPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.455e-14,279,0.6851,0.9883,1.498,0.0989
2019-05-20,"NPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.446e-11,82,0.778,0.9821,1.392,0.09012
2019-05-20,"BNPP_root","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.675e-06,90,0.4825,0.9811,1.253,0.06128
2019-05-20,"BNPP_root_fine","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005934,81,0.2947,0.8936,1.8,0.03926
2019-05-20,"GPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.351e-08,279,0.553,0.9898,5.946,0.00085
2019-05-20,"NPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.868e-12,81,0.4766,0.9919,47.63,-0.00028
2019-05-20,"BNPP_root","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0006898,93,0.2897,0.9828,13.28,3e-05
2019-05-20,"BNPP_root_fine","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005209,80,0.3084,0.9005,1.835,0.00043
2019-05-20,"GPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.293e-13,303,0.5978,0.9879,1.983,-0.04777
2019-05-20,"NPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.009e-10,95,0.641,0.985,1.306,-0.03984
2019-05-20,"BNPP_root","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.095e-10,108,0.5255,0.9851,1.921,-0.0346
2019-05-20,"BNPP_root_fine","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004214,93,0.2761,0.915,0.4524,-0.02065
2019-05-20,"GPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.065e-13,303,0.6168,0.9877,1.949,0.09082
2019-05-20,"NPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.277e-10,95,0.7139,0.9837,2.232,0.08644
2019-05-20,"BNPP_root","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.376e-09,108,0.5228,0.985,0.5158,0.07069
2019-05-20,"BNPP_root_fine","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001377,93,0.3191,0.9154,2.188,0.04376
2019-05-20,"GPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.179e-16,303,0.6991,0.9871,5.758,-0.02152
2019-05-20,"NPP","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.272e-10,95,0.705,0.9865,4.72,-0.01838
2019-05-20,"BNPP_root","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.227e-10,108,0.5829,0.9867,6.802,-0.01659
2019-05-20,"BNPP_root_fine","TempSeasonality",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001714,93,0.2993,0.9089,2.148,-0.00937
2019-05-20,"GPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.517e-15,303,0.6827,0.9881,6.674,-0.07151
2019-05-20,"NPP","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.546e-10,95,0.7103,0.9866,6.271,-0.06271
2019-05-20,"BNPP_root","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.311e-10,108,0.561,0.9875,9.803,-0.05484
2019-05-20,"BNPP_root_fine","TempRangeAnnual",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001256,93,0.3136,0.9092,1.934,-0.03285
2019-05-20,"GPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.274e-09,303,0.5153,0.9893,1.656,0.00094
2019-05-20,"NPP","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.034e-06,95,0.486,0.9816,1.206,0.00077
2019-05-20,"BNPP_root","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.808e-05,108,0.3322,0.9849,3.46,0.00045
2019-05-20,"BNPP_root_fine","AnnualPre",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.006587,93,0.3127,0.9149,4.545,0.00026
2019-05-20,"GPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.766e-10,303,0.5252,0.9895,1.462,-0.00892
2019-05-20,"NPP","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.069e-10,95,0.7107,0.9859,2.052,-0.0099
2019-05-20,"BNPP_root","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.266e-08,108,0.5007,0.9859,0.2665,-0.00797
2019-05-20,"BNPP_root_fine","AnnualFrostDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006139,93,0.3696,0.9162,2.22,-0.00539
2019-05-20,"GPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00302,303,0.1195,0.9917,1.329,0.00412
2019-05-20,"NPP","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.02303,95,0.1684,0.9874,0.8487,0.00766
2019-05-20,"BNPP_root","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.005468,108,0.1775,0.9858,8.087,0.00291
2019-05-20,"BNPP_root_fine","AnnualWetDays",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.6531,93,0.03098,0.9075,0.7958,0.00263
2019-05-20,"GPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.606e-14,303,0.6448,0.9872,1.938,11.31497
2019-05-20,"NPP","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.985e-10,95,0.6908,0.9841,2.104,10.48177
2019-05-20,"BNPP_root","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.071e-10,108,0.5596,0.9855,0.8454,9.07504
2019-05-20,"BNPP_root_fine","VapourPressure",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001691,93,0.321,0.9198,1.658,5.45312
2019-05-20,"GPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00141,303,0.161,0.9914,1.954,5e-05
2019-05-20,"NPP","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1178,95,0.08817,0.9842,2.328,4e-05
2019-05-20,"BNPP_root","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.05939,108,0.08083,0.9851,0.3946,3e-05
2019-05-20,"BNPP_root_fine","Aridity",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.07121,93,0.1665,0.9167,0.01393,4e-05
