"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,497.555406921381,0,1,0.999976789698236,-243.664067097054,0.999976789698236
"11","scale(mean) ~ log(AnnualFrostDays) + (1 | geographic.area/plot.name)",5,518.959457008094,21.4040500867131,2.24993296314273e-05,2.2498807415197e-05,-254.36609214041,0.999999288505651
"6","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",5,525.922015543716,28.3666086223355,6.92259943361839e-07,6.92243875799654e-07,-257.847371408222,0.999999980749527
"8","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",5,533.157021404166,35.601614482785,1.85869290707993e-08,1.85864976625667e-08,-261.464874338446,0.999999999336025
"7","scale(mean) ~ poly(length_growing_season, 1, raw = T) + (1 | geographic.area/plot.name)",5,539.820951297273,42.2655443758923,6.63977941294387e-10,6.63962530166005e-10,-264.796839285,0.999999999999987
"3","scale(mean) ~ poly(PotentialEvapotranspiration, 2, raw = T) + (1 | geographic.area/plot.name)",6,562.231471420974,64.6760644995935,9.0317319185625e-15,9.03152228933922e-15,-274.956039892997,0.999999999999996
"4","scale(mean) ~ poly(VapourPressureDeficit, 2, raw = T) + (1 | geographic.area/plot.name)",6,564.307460163018,66.7520532416377,3.19871694300869e-15,3.19864269982318e-15,-275.994034264019,0.999999999999999
"2","scale(mean) ~ poly(map, 2, raw = T) + (1 | geographic.area/plot.name)",6,568.983016156982,71.4276092356017,3.08810264046872e-16,3.08803096467455e-16,-278.331812261001,1
"12","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,569.324958058352,71.7695511369719,2.602795134799e-16,2.60273472313849e-16,-279.54884266554,1
"5","scale(mean) ~ poly(SolarRadiation, 1, raw = T) + (1 | geographic.area/plot.name)",5,572.070621764376,74.5152148429952,6.59518052893503e-17,6.59502745280476e-17,-280.921674518552,1
"10","scale(mean) ~ poly(CloudCover, 2, raw = T) + (1 | geographic.area/plot.name)",6,580.007202836067,82.4517959146862,1.24686664029676e-18,1.24683770014578e-18,-283.843905600543,1
"14","scale(mean) ~ poly(WaterStressMonths, 2, raw = T) + (1 | geographic.area/plot.name)",6,583.663268814053,86.1078618926724,2.00408143886017e-19,2.00403492352521e-19,-285.671938589536,1
"13","scale(mean) ~ poly(MaxVPD, 2, raw = T) + (1 | geographic.area/plot.name)",6,583.986080765593,86.4306738442128,1.70536616085892e-19,1.70532657879571e-19,-285.833344565306,1
"9","scale(mean) ~ poly(Aridity, 1, raw = T) + (1 | geographic.area/plot.name)",5,585.610058490865,88.0546515694843,7.57138549498308e-20,7.57120976084097e-20,-287.691392881796,1
