"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,518.112340844434,0,1,0.999582026002591,-253.936170422217,0.999582026002591
"12","scale(mean) ~ log(AnnualFrostDays) + (1 | geographic.area/plot.name)",5,533.977696508895,15.8653556644612,0.000358824254102725,0.000358674274894871,-261.868848254448,0.999940700277486
"4","scale(mean) ~ poly(VapourPressureDeficit, 2, raw = T) + (1 | geographic.area/plot.name)",6,538.700494653601,20.5881538091669,3.38328983601494e-05,3.38187570883779e-05,-263.181572628005,0.999974519034574
"6","scale(mean) ~ poly(TempSeasonality, 1, raw = T) + (1 | geographic.area/plot.name)",5,539.94046519292,21.8281243484859,1.82004875779534e-05,1.81928802474057e-05,-264.85023259646,0.999992711914822
"3","scale(mean) ~ poly(PotentialEvapotranspiration, 2, raw = T) + (1 | geographic.area/plot.name)",6,543.219145027788,25.106804183354,3.53286256159026e-06,3.53138591690309e-06,-265.440897815099,0.999996243300739
"9","scale(mean) ~ poly(TempRangeAnnual, 1, raw = T) + (1 | geographic.area/plot.name)",5,544.349865392583,26.2375245481491,2.00721519018512e-06,2.00637622642842e-06,-267.054932696292,0.999998249676965
"8","scale(mean) ~ log(length_growing_season) + (1 | geographic.area/plot.name)",5,545.029464089114,26.9171232446801,1.42896289889238e-06,1.42836562955738e-06,-267.394732044557,0.999999678042595
"5","scale(mean) ~ log(SolarRadiation) + (1 | geographic.area/plot.name)",5,549.285674270428,31.1733334259934,1.70136171280911e-07,1.70065058785297e-07,-269.522837135214,0.999999848107654
"13","scale(mean) ~ log(MaxVPD) + (1 | geographic.area/plot.name)",5,551.440699073306,33.328358228872,5.79213886158007e-08,5.78971789814654e-08,-270.600349536653,0.999999906004832
"7","scale(mean) ~ poly(PreSeasonality, 2, raw = T) + (1 | geographic.area/plot.name)",6,552.544588705192,34.4322478607573,3.3352805993812e-08,3.3338865388166e-08,-270.103619653801,0.999999939343698
"11","scale(mean) ~ poly(CloudCover, 2, raw = T) + (1 | geographic.area/plot.name)",6,552.91681482293,34.8044739784958,2.76888234911726e-08,2.76772502829344e-08,-270.28973271267,0.999999967020948
"2","scale(mean) ~ log(map) + (1 | geographic.area/plot.name)",5,552.960225322182,34.8478844777474,2.70943060803219e-08,2.70829813649025e-08,-271.360112661091,0.999999994103929
"10","scale(mean) ~ poly(Aridity, 1, raw = T) + (1 | geographic.area/plot.name)",5,556.009464185007,37.8971233405732,5.89853589460543e-09,5.8960704599787e-09,-272.884732092504,1
