"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"8","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",5,217.597162944908,0,1,0.40107298676002,-103.403844630349,0.40107298676002
"10","scale(mean) ~ poly(AnnualFrostDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,219.703227535589,2.10606459068106,0.348878241686595,0.139925638408827,-104.456876925689,0.540998625168847
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,219.761307873923,2.16414492901518,0.338892454767471,0.135920609024024,-104.485917094856,0.676919234192871
"6","scale(mean) ~ poly(TempSeasonality, 1, raw = T) + (1 | geographic.area/plot.name)",5,220.267401693807,2.67023874889898,0.263126762968666,0.105533036720339,-104.738964004798,0.78245227091321
"3","scale(mean) ~ log(PotentialEvapotranspiration) + (1 | geographic.area/plot.name)",5,220.963316002222,3.36615305731436,0.185801472274854,0.0745199514296849,-105.086921159006,0.856972222342895
"5","scale(mean) ~ log(SolarRadiation) + (1 | geographic.area/plot.name)",5,221.324464431416,3.72730148650788,0.155105345698259,0.0622085642616462,-105.267495373603,0.919180786604541
"7","scale(mean) ~ poly(length_growing_season, 1, raw = T) + (1 | geographic.area/plot.name)",5,222.794272585885,5.19710964097689,0.0743809944670076,0.0298322076090633,-106.002399450837,0.949012994213604
"2","scale(mean) ~ log(map) + (1 | geographic.area/plot.name)",5,223.004165589905,5.40700264499736,0.0669706160304967,0.0268601049965098,-106.107345952847,0.975873099210114
"11","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,225.254378011663,7.65721506675513,0.0217398666018455,0.00871927322976657,-107.232452163726,0.984592372439881
"4","scale(mean) ~ log(VapourPressureDeficit) + (1 | geographic.area/plot.name)",5,225.437819966274,7.84065702136607,0.0198345778032846,0.00795511336068737,-107.324173141032,0.992547485800568
"9","scale(mean) ~ log(Aridity) + (1 | geographic.area/plot.name)",5,225.568346886352,7.97118394144368,0.0185814413970775,0.00745251419943215,-107.389436601071,1
