"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"6","scale(mean) ~ poly(TempSeasonality, 2, raw = T) + (1 | geographic.area/plot.name)",6,109.434294572186,0,1,0.963440505238861,-48.5391811843981,0.963440505238861
"8","scale(mean) ~ poly(TempRangeAnnual, 2, raw = T) + (1 | geographic.area/plot.name)",6,115.991299556946,6.55700498475962,0.0376846476207779,0.0363069159435107,-51.8176836767779,0.999747421182371
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,126.42617160646,16.9918770342742,0.000204296432749575,0.000196827458386747,-58.0865035247491,0.999944248640758
"9","scale(mean) ~ log(AnnualFrostDays) + (1 | geographic.area/plot.name)",5,128.954830370812,19.5205357986255,5.76991624985089e-05,5.55897102694225e-05,-59.3508329069248,0.999999838351028
"7","scale(mean) ~ poly(length_growing_season, 1, raw = T) + (1 | geographic.area/plot.name)",5,140.805888486721,31.3715939145347,1.54079527226162e-07,1.48446457557738e-07,-65.2763619648794,0.999999986797485
"2","scale(mean) ~ poly(map, 1, raw = T) + (1 | geographic.area/plot.name)",5,145.648110599847,36.2138160276607,1.36857866449394e-08,1.31854411997917e-08,-67.6974730214424,0.999999999982926
"3","scale(mean) ~ poly(PotentialEvapotranspiration, 2, raw = T) + (1 | geographic.area/plot.name)",6,159.237178738918,49.8028841667322,1.53264337321553e-11,1.47661070584176e-11,-73.4406232677642,0.999999999997693
"4","scale(mean) ~ poly(VapourPressureDeficit, 2, raw = T) + (1 | geographic.area/plot.name)",6,163.019446795799,53.5851522236126,2.31276783473158e-12,2.22821421119398e-12,-75.3317572962044,0.999999999999921
"5","scale(mean) ~ log(SolarRadiation) + (1 | geographic.area/plot.name)",5,170.054468438561,60.6201738663745,6.86272345963376e-14,6.61182575726413e-14,-79.9006519407993,0.999999999999987
"10","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,173.294060603302,63.8597660311164,1.35840101850626e-14,1.30873856358666e-14,-81.5204480231702,1
