"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"6","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",5,43.0207412105327,0,1,0.477329219814231,-14.6353706052664,0.477329219814231
"8","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",5,44.6395960555112,1.61885484497851,0.445112854883302,0.212465371750732,-15.4447980277556,0.689794591564963
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,45.25817559992,2.23743438938732,0.32669861665106,0.155942795800439,-15.75408779996,0.845737387365402
"10","scale(mean) ~ log(AnnualFrostDays) + (1 | geographic.area/plot.name)",5,46.8077125708107,3.78697136027798,0.150546137526012,0.0718600703713374,-16.5288562854053,0.91759745773674
"2","scale(mean) ~ poly(map, 2, raw = T) + (1 | geographic.area/plot.name)",6,47.6066085268912,4.58586731635851,0.100969816011286,0.0481958435014536,-15.0033042634456,0.965793301238193
"7","scale(mean) ~ poly(length_growing_season, 1, raw = T) + (1 | geographic.area/plot.name)",5,50.3551481064053,7.33440689587263,0.025547815936175,0.012194719048772,-18.3025740532027,0.977988020286965
"3","scale(mean) ~ log(PotentialEvapotranspiration) + (1 | geographic.area/plot.name)",5,51.3393093673496,8.3185681568169,0.0156187357084217,0.00745527893018562,-18.7946546836748,0.985443299217151
"4","scale(mean) ~ log(VapourPressureDeficit) + (1 | geographic.area/plot.name)",5,51.8808127980441,8.86007158751134,0.0119140632160896,0.0056869304997535,-19.065406399022,0.991130229716904
"9","scale(mean) ~ poly(Aridity, 2, raw = T) + (1 | geographic.area/plot.name)",6,52.4325157248381,9.41177451430543,0.00904188817788874,0.00431595742959915,-17.4162578624191,0.995446187146503
"5","scale(mean) ~ log(SolarRadiation) + (1 | geographic.area/plot.name)",5,53.736927796074,10.7161865855413,0.00470987790982506,0.00224816234811708,-19.993463898037,0.997694349494621
"12","scale(mean) ~ poly(WaterStressMonths, 1, raw = T) + (1 | geographic.area/plot.name)",5,54.6851513951761,11.6644101846434,0.00293160538708644,0.00139934091222117,-20.467575697588,0.999093690406842
"11","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,55.5539027267629,12.5331615162302,0.00189870964428094,0.000906309593158379,-20.9019513633814,1
