"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"6","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",5,132.238587276247,0,1,0.264255619017817,-60.6020522588133,0.264255619017817
"9","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",5,133.002892564018,0.76430528777118,0.682390882459289,0.180325625056394,-60.9842049026988,0.444581244074212
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",5,133.535004922632,1.29641764638487,0.522981690992545,0.13820085048822,-61.2502610820057,0.582782094562431
"10","scale(mean) ~ poly(Aridity, 1, raw = T) + (1 | geographic.area/plot.name)",5,134.484901283675,2.24631400742737,0.325251352351927,0.0859494974521407,-61.725209262527,0.668731592014572
"12","scale(mean) ~ log(AnnualFrostDays) + (1 | geographic.area/plot.name)",5,134.510090755443,2.27150347919539,0.321180586395273,0.0848737746743884,-61.737803998411,0.753605366688961
"2","scale(mean) ~ poly(map, 1, raw = T) + (1 | geographic.area/plot.name)",5,134.946435241733,2.707847965486,0.25822499957301,0.0682374071080414,-61.9559762415563,0.821842773797002
"4","scale(mean) ~ poly(VapourPressureDeficit, 2, raw = T) + (1 | geographic.area/plot.name)",6,135.127609307623,2.88902203137545,0.235861380877685,0.0623276952062298,-60.8269625485482,0.884170469003232
"15","scale(mean) ~ poly(WaterStressMonths, 1, raw = T) + (1 | geographic.area/plot.name)",5,135.696428727643,3.45784145139601,0.177475851768226,0.0468989910697271,-62.3309729845113,0.931069460072959
"8","scale(mean) ~ poly(length_growing_season, 1, raw = T) + (1 | geographic.area/plot.name)",5,135.926315882267,3.68772860601999,0.158204891720652,0.0418065315932877,-62.4459165618233,0.972875991666247
"13","scale(mean) ~ poly(AnnualWetDays, 1, raw = T) + (1 | geographic.area/plot.name)",5,138.269176308664,6.0305890324166,0.0490313928204203,0.0129568210610659,-63.6173467750216,0.985832812727312
"11","scale(mean) ~ log(CloudCover) + (1 | geographic.area/plot.name)",5,139.841007037452,7.60241976120497,0.0223437222599247,0.00590445415695859,-64.4032621394157,0.991737266884271
"3","scale(mean) ~ poly(PotentialEvapotranspiration, 2, raw = T) + (1 | geographic.area/plot.name)",6,140.0495298854,7.81094260915316,0.0201314642038438,0.00531985253492176,-63.287922837437,0.997057119419193
"7","scale(mean) ~ poly(PreSeasonality, 1, raw = T) + (1 | geographic.area/plot.name)",5,142.712601420659,10.4740141444122,0.00531614388440462,0.00140482089296113,-65.8390593310194,0.998461940312154
"14","scale(mean) ~ poly(MaxVPD, 1, raw = T) + (1 | geographic.area/plot.name)",5,143.79475556331,11.5561682870626,0.00309463861582763,0.000817775643061972,-66.3801364023446,0.999279715955216
"5","scale(mean) ~ poly(SolarRadiation, 1, raw = T) + (1 | geographic.area/plot.name)",5,144.048640329589,11.8100530533422,0.00272570947577654,0.00072028404478406,-66.5070787854843,1
