"","Modnames","Delta_AICc","flux"
"6","scale(mean) ~ poly(TempSeasonality, 2, raw = T) + (1 | geographic.area/plot.name)",0,"GPP"
"1","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",0,"NPP"
"61","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",0.211304854231912,"NPP"
"62","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",0,"BNPP_root"
"9","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",0,"BNPP_root_fine"
"11","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",0,"ANPP"
"12","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",0,"ANPP_foliage"
"13","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",0,"ANPP_woody_stem"
"63","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",0,"R_auto"
"91","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",1.61885484497851,"R_auto"
"64","scale(mean) ~ log(TempSeasonality) + (1 | geographic.area/plot.name)",0,"R_auto_root"
"92","scale(mean) ~ log(TempRangeAnnual) + (1 | geographic.area/plot.name)",0.76430528777118,"R_auto_root"
"14","scale(mean) ~ poly(mat, 1, raw = T) + (1 | geographic.area/plot.name)",1.29641764638487,"R_auto_root"
