"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","fixed1.coef","fixed2.coef","int.coef"
"GPP","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.077e-13,226,0.6451,0.9659,3.733,0.325,-0.0021,3e-04
"NPP","mat","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.869e-09,97,0.5127,0.8219,2.298,0.2375,-1e-04,NA
"BNPP_root","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0006152,86,0.314,0.8058,0.649,0.1452,5e-04,0
"BNPP_root_fine","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0265,84,0.1699,0.7661,1.85,0.0971,9e-04,0
"GPP","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.444e-13,227,0.7164,0.9617,5.521,0.3893,-0.1118,-0.0066
"NPP","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.317e-09,98,0.5361,0.8256,1.614,0.1371,-0.0216,NA
"BNPP_root","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0004632,87,0.2965,0.7822,1.937,0.0429,-0.0131,NA
"BNPP_root_fine","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01711,85,0.1738,0.6833,2.414,-0.0716,-0.0283,NA
"GPP","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.515e-11,227,0.641,0.9655,1.857,0.8336,0.032,NA
"NPP","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.58e-09,98,0.5423,0.8194,1.059,0.0847,-0.0087,9e-04
"BNPP_root","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007968,87,0.278,0.7725,1.784,0.0959,-8e-04,NA
"BNPP_root_fine","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04917,85,0.1116,0.6674,2.362,NA,NA,NA
"GPP","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.448e-10,227,0.6207,0.9638,0.06162,0.8789,0,NA
"NPP","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.331e-09,98,0.5107,0.8211,2.367,0.2158,0,NA
"BNPP_root","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002494,87,0.3216,0.7834,1.193,0.2668,0,0
"BNPP_root_fine","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04917,85,0.1116,0.6674,1.662,NA,NA,NA
"GPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.842e-12,227,0.6445,0.9666,5.178,0.3647,-9e-04,0
"NPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.176e-10,98,0.557,0.811,2.966,0.0988,-1e-04,0
"BNPP_root","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0006249,87,0.2737,0.7791,0.5296,0.0884,0,NA
"BNPP_root_fine","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04917,85,0.1116,0.6674,1.811,NA,NA,NA
"GPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.839e-12,227,0.6682,0.9637,1.848,1.2677,-0.0119,NA
"NPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.409e-09,98,0.5184,0.8107,1.59,0.2717,-0.0014,NA
"BNPP_root","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002304,87,0.3493,0.7669,2.552,0.2794,0.0026,-2e-04
"BNPP_root_fine","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04917,85,0.1116,0.6674,1.196,NA,NA,NA
"GPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.227e-13,227,0.7025,0.9674,1.984,1.3028,-17.1778,NA
"NPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.562e-09,98,0.5194,0.8105,1.796,0.2613,-1.4362,NA
"BNPP_root","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007986,87,0.2758,0.768,0.5629,0.1013,-0.2458,NA
"BNPP_root_fine","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04917,85,0.1116,0.6674,2.287,NA,NA,NA
"GPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.077e-13,226,0.6451,0.9659,3.733,-0.0021,0.325,3e-04
"NPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.869e-09,97,0.5127,0.8219,2.298,-1e-04,0.2375,NA
"BNPP_root","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0006152,86,0.314,0.8058,0.649,5e-04,0.1452,0
"BNPP_root_fine","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0265,84,0.1699,0.7661,1.85,9e-04,0.0971,0
"GPP","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.26e-17,228,0.7384,0.9636,13.14,0.0035,-0.0863,-1e-04
"NPP","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.47e-09,99,0.517,0.8418,1.957,-2e-04,-0.0512,NA
"BNPP_root","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001373,92,0.322,0.7878,0.002389,0,-0.0177,0
