,,Climate variables,,,,,,,,
,R-squared,Mean annual temperature,Mean annual precipitation,Aridity,Annual wet days,Potential evapotranspiration,Solar radiation,Temperature seasonality,Vapour pressure deficit,Interactive effect
GPP,0.74,-,0.004,-,-,-,-,-0.086,-,-0.0001
NPP,0.56,0.098,-,-0.0001,-,-,-,-,-,<0.0001
ANPP,0.49,0.238,-,-,-,-0.002,-,-,-,NA
ANPP foliage,0.66,0.133,-,-,-,-0.001,-,-,-,NA
ANPP woody stem,0.25,-,-,<0.0001,-,-,-,-,0.76,0.0001
BNPP,0.36,-,-,-,-,-,-,-0.046,-1.347,0.056
BNPP fine root,0.19,-,0.002,-,-,-,-,-,4.722,-0.002
R auto,0.95,3.943,-,-,-,-,0.0001,-,-,<0.0001
R root,0.47,-,0.0007,-,-,-,-,-0.006,-,<0.0001
,,,,,,,,,,
