"","response","fixed","best.model","Rsq.R2m","delta.aic","significant"
"1","ANPP","lat","Lin",0.44,63.4,TRUE
"2","ANPP_foliage","lat","Lin",0.5,37.7,TRUE
"3","ANPP_woody_stem","lat","Lin",0.18,22.2,TRUE
"4","BNPP_root","lat","Lin",0.34,22.9,TRUE
"5","BNPP_root_fine","lat","Lin",0.17,8,TRUE
"6","GPP","lat","Lin",0.64,54.9,TRUE
"7","NPP","lat","Log",0.5,44.3,TRUE
"8","R_auto","lat","Lin",0.65,13.1,TRUE
"9","R_auto_root","lat","Log",0.22,8.8,TRUE
"10","ANPP","mat","Lin",0.44,80.5,TRUE
"11","ANPP_foliage","mat","Lin",0.58,52.9,TRUE
"12","ANPP_woody_stem","mat","Lin",0.24,38.5,TRUE
"13","BNPP_root","mat","Log",0.31,21,TRUE
"14","BNPP_root_fine","mat","Lin",0.15,7.2,TRUE
"15","GPP","mat","Lin",0.61,52.5,TRUE
"16","NPP","mat","Lin",0.42,41.5,TRUE
"17","R_auto","mat","Lin",0.59,10.9,TRUE
"18","R_auto_root","mat","Lin",0.24,8.3,TRUE
"19","ANPP","map","Poly",0.16,19.7,TRUE
"20","ANPP_foliage","map","Poly",0.25,13.3,TRUE
"21","ANPP_woody_stem","map","Log",0.05,7.3,TRUE
"22","BNPP_root","map","Poly",0.15,6.2,TRUE
"23","BNPP_root_fine","map","Log",0.11,5.4,TRUE
"24","GPP","map","Lin",0.18,33.3,TRUE
"25","NPP","map","Poly",0.21,16.7,TRUE
"26","R_auto","map","Poly",0.6,8.6,TRUE
"27","R_auto_root","map","Lin",0.15,6.8,TRUE
"28","ANPP","TempSeasonality","Log",0.41,58.7,TRUE
"29","ANPP_foliage","TempSeasonality","Lin",0.48,34.1,TRUE
"30","ANPP_woody_stem","TempSeasonality","Lin",0.14,17.6,TRUE
"31","BNPP_root","TempSeasonality","Log",0.36,26.6,TRUE
"32","BNPP_root_fine","TempSeasonality","Lin",0.17,8.4,TRUE
"33","GPP","TempSeasonality","Poly",0.71,69.5,TRUE
"34","NPP","TempSeasonality","Log",0.52,44.3,TRUE
"35","R_auto","TempSeasonality","Log",0.65,13.1,TRUE
"36","R_auto_root","TempSeasonality","Log",0.24,9.5,TRUE
"37","ANPP","PreSeasonality","Null",0,1.9,FALSE
"38","ANPP_foliage","PreSeasonality","Null",0,2.2,FALSE
"39","ANPP_woody_stem","PreSeasonality","Poly",0.05,5,TRUE
"40","BNPP_root","PreSeasonality","Null",0,2.1,FALSE
"41","BNPP_root_fine","PreSeasonality","Null",0,2.2,FALSE
"42","GPP","PreSeasonality","Null",0.03,0.1,FALSE
"43","NPP","PreSeasonality","Null",0,2,FALSE
"44","R_auto","PreSeasonality","Null",0.01,3.3,FALSE
"45","R_auto_root","PreSeasonality","Null",0.06,0.9,FALSE
"46","ANPP","TempRangeAnnual","Log",0.37,51.9,TRUE
"47","ANPP_foliage","TempRangeAnnual","Lin",0.5,36.1,TRUE
"48","ANPP_woody_stem","TempRangeAnnual","Lin",0.12,13.6,TRUE
"49","BNPP_root","TempRangeAnnual","Log",0.33,23.6,TRUE
"50","BNPP_root_fine","TempRangeAnnual","Log",0.19,10.9,TRUE
"51","GPP","TempRangeAnnual","Poly",0.69,63,TRUE
"52","NPP","TempRangeAnnual","Log",0.49,42.3,TRUE
"53","R_auto","TempRangeAnnual","Log",0.6,11.5,TRUE
"54","R_auto_root","TempRangeAnnual","Log",0.22,8.8,TRUE
"55","ANPP","SolarRadiation","Lin",0.11,12.3,TRUE
"56","ANPP_foliage","SolarRadiation","Log",0.17,10.1,TRUE
"57","ANPP_woody_stem","SolarRadiation","Log",0.06,6.8,TRUE
"58","BNPP_root","SolarRadiation","Poly",0.29,18.8,TRUE
"59","BNPP_root_fine","SolarRadiation","Log",0.14,7.2,TRUE
"60","GPP","SolarRadiation","Log",0.16,8.9,TRUE
"61","NPP","SolarRadiation","Poly",0.16,12.5,TRUE
"62","R_auto","SolarRadiation","Log",0.27,2.4,TRUE
"63","R_auto_root","SolarRadiation","Null",0,2.3,FALSE
"64","ANPP","Aridity","Lin",0.05,2.1,TRUE
"65","ANPP_foliage","Aridity","Lin",0.11,6.8,TRUE
"66","ANPP_woody_stem","Aridity","Lin",0.07,4,TRUE
"67","BNPP_root","Aridity","Null",0.03,0.3,FALSE
"68","BNPP_root_fine","Aridity","Log",0.06,2.4,TRUE
"69","GPP","Aridity","Null",0.01,0.5,FALSE
"70","NPP","Aridity","Lin",0.04,2.8,TRUE
"71","R_auto","Aridity","Poly",0.48,3.7,TRUE
"72","R_auto_root","Aridity","Lin",0.16,7.3,TRUE
"73","ANPP","CloudCover","Poly",0.09,7.1,TRUE
"74","ANPP_foliage","CloudCover","Null",0.04,0.5,FALSE
"75","ANPP_woody_stem","CloudCover","Poly",0.09,5.4,TRUE
"76","BNPP_root","CloudCover","Null",0,2.1,FALSE
"77","BNPP_root_fine","CloudCover","Null",0,2.2,FALSE
"78","GPP","CloudCover","Null",0.03,0,FALSE
"79","NPP","CloudCover","Lin",0.06,3.6,TRUE
"80","R_auto","CloudCover","Null",0.19,0.1,FALSE
"81","R_auto_root","CloudCover","Log",0.16,1.9,TRUE
"82","ANPP","AnnualFrostDays","Log",0.41,61.6,TRUE
"83","ANPP_foliage","AnnualFrostDays","Lin",0.53,43.4,TRUE
"84","ANPP_woody_stem","AnnualFrostDays","Log",0.17,22.3,TRUE
"85","BNPP_root","AnnualFrostDays","Lin",0.28,19.1,TRUE
"86","BNPP_root_fine","AnnualFrostDays","Lin",0.16,9.2,TRUE
