"response","fixed","random","Age.filter","equation","significant"
"NEE","mat","geographic.area/plot.name",">=100 yrs","NEE = 1.69 + mat x -0.04",FALSE
"GPP","mat","geographic.area/plot.name",">=100 yrs","GPP = 8.19 + mat x 0.9",TRUE
"NPP","mat","geographic.area/plot.name",">=100 yrs","NPP = 4 + mat x 0.24",TRUE
"ANPP","mat","geographic.area/plot.name",">=100 yrs","ANPP = 2.36 + mat x 0.18",TRUE
"ANPP_woody","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.54 + mat x 0.07",TRUE
"ANPP_foliage","mat","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.86 + mat x 0.1",TRUE
"ANPP_woody_branch","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.8 + mat x 0.01",FALSE
"ANPP_woody_stem","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 0.77 + mat x 0.08",TRUE
"NPP_woody","mat","geographic.area/plot.name",">=100 yrs","NPP_woody = 4 + mat x -0.01",FALSE
"ANPP_litterfall","mat","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 1.34 + mat x 0.1",TRUE
"BNPP_root","mat","geographic.area/plot.name",">=100 yrs","BNPP_root = 1 + mat x 0.09",TRUE
"BNPP_root_fine","mat","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.45 + mat x 0.06",TRUE
"BNPP_root_coarse","mat","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.31 + mat x 0.01",FALSE
"R_eco","mat","geographic.area/plot.name",">=100 yrs","R_eco = 5.09 + mat x 0.92",TRUE
"R_soil","mat","geographic.area/plot.name",">=100 yrs","R_soil = 4.87 + mat x 0.36",TRUE
"R_soil_het","mat","geographic.area/plot.name",">=100 yrs","R_soil_het = 2.22 + mat x 0.26",TRUE
"NEE","map","geographic.area/plot.name",">=100 yrs","NEE = 1.09 + map x 0",FALSE
"GPP","map","geographic.area/plot.name",">=100 yrs","GPP = 11.47 + map x 0.01",TRUE
"NPP","map","geographic.area/plot.name",">=100 yrs","NPP = 7.15 + map x 0",FALSE
"ANPP","map","geographic.area/plot.name",">=100 yrs","ANPP = 4.74 + map x 0",FALSE
"ANPP_woody","map","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.24 + map x 0",FALSE
"ANPP_foliage","map","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 2.1 + map x 0",FALSE
"ANPP_woody_branch","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 1.08 + map x 0",FALSE
"ANPP_woody_stem","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.48 + map x 0",FALSE
"NPP_woody","map","geographic.area/plot.name",">=100 yrs","NPP_woody = 3.88 + map x 0",FALSE
"ANPP_litterfall","map","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 4.44 + map x 0",TRUE
"ANPP_repro","map","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.52 + map x 0",TRUE
"BNPP_root","map","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.55 + map x 0",TRUE
"BNPP_root_fine","map","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.25 + map x 0",TRUE
"BNPP_root_coarse","map","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.36 + map x 0",FALSE
"R_eco","map","geographic.area/plot.name",">=100 yrs","R_eco = 5.54 + map x 0.01",TRUE
