"Koeppen","variable","percentage"
"Af","GPP mat",10.9090909090909
"Am","GPP mat",6.36363636363636
"Aw","GPP mat",4.09090909090909
"Cfa","GPP mat",1.81818181818182
"Cfb","GPP mat",17.7272727272727
"Csb","GPP mat",6.81818181818182
"Cwa","GPP mat",2.72727272727273
"Dfb","GPP mat",21.8181818181818
"Dfc","GPP mat",15.9090909090909
"Dwa","GPP mat",1.36363636363636
"Dwb","GPP mat",2.27272727272727
"ET","GPP mat",8.18181818181818
"Af","NPP mat",26.3888888888889
"Am","NPP mat",2.77777777777778
"As","NPP mat",1.38888888888889
"Cfa","NPP mat",12.5
"Cfb","NPP mat",25
"Csb","NPP mat",4.16666666666667
"Cwa","NPP mat",2.77777777777778
"Dfb","NPP mat",4.16666666666667
"Dfc","NPP mat",20.8333333333333
"Af","BNPP_root mat",26.8292682926829
"Am","BNPP_root mat",4.8780487804878
"As","BNPP_root mat",2.4390243902439
"Aw","BNPP_root mat",2.4390243902439
"Cfa","BNPP_root mat",10.9756097560976
"Cfb","BNPP_root mat",21.9512195121951
"Csb","BNPP_root mat",4.8780487804878
"Cwa","BNPP_root mat",2.4390243902439
"Dfb","BNPP_root mat",6.09756097560976
"Dfc","BNPP_root mat",17.0731707317073
"Af","BNPP_root_fine mat",31.9444444444444
"Am","BNPP_root_fine mat",9.72222222222222
"As","BNPP_root_fine mat",5.55555555555556
"Aw","BNPP_root_fine mat",2.77777777777778
"Cfa","BNPP_root_fine mat",6.94444444444444
"Cfb","BNPP_root_fine mat",20.8333333333333
"Csb","BNPP_root_fine mat",2.77777777777778
"Cwa","BNPP_root_fine mat",1.38888888888889
"Dfb","BNPP_root_fine mat",1.38888888888889
"Dfc","BNPP_root_fine mat",16.6666666666667
"Af","GPP map",11.3122171945701
"Am","GPP map",6.33484162895928
"Aw","GPP map",4.07239819004525
"Cfa","GPP map",1.80995475113122
"Cfb","GPP map",17.6470588235294
"Csb","GPP map",6.78733031674208
"Cwa","GPP map",2.71493212669683
"Dfb","GPP map",21.7194570135747
"Dfc","GPP map",15.8371040723982
"Dwa","GPP map",1.35746606334842
"Dwb","GPP map",2.26244343891403
"ET","GPP map",8.1447963800905
"Af","NPP map",27.7777777777778
"Am","NPP map",2.77777777777778
"As","NPP map",1.38888888888889
"Cfa","NPP map",12.5
"Cfb","NPP map",23.6111111111111
"Csb","NPP map",4.16666666666667
"Cwa","NPP map",2.77777777777778
"Dfb","NPP map",4.16666666666667
"Dfc","NPP map",20.8333333333333
"Af","BNPP_root map",26.7441860465116
"Am","BNPP_root map",6.97674418604651
"As","BNPP_root map",2.32558139534884
"Aw","BNPP_root map",4.65116279069767
"Cfa","BNPP_root map",10.4651162790698
"Cfb","BNPP_root map",19.7674418604651
"Csb","BNPP_root map",4.65116279069767
"Cwa","BNPP_root map",2.32558139534884
"Dfb","BNPP_root map",5.81395348837209
"Dfc","BNPP_root map",16.2790697674419
"Af","BNPP_root_fine map",33.3333333333333
"Am","BNPP_root_fine map",9.72222222222222
"As","BNPP_root_fine map",5.55555555555556
"Aw","BNPP_root_fine map",2.77777777777778
"Cfa","BNPP_root_fine map",6.94444444444444
"Cfb","BNPP_root_fine map",19.4444444444444
"Csb","BNPP_root_fine map",2.77777777777778
"Cwa","BNPP_root_fine map",1.38888888888889
"Dfb","BNPP_root_fine map",1.38888888888889
"Dfc","BNPP_root_fine map",16.6666666666667
"Af","GPP lat",10.2459016393443
"Am","GPP lat",5.73770491803279
"Aw","GPP lat",3.68852459016393
"Cfa","GPP lat",3.27868852459016
"Cfb","GPP lat",19.2622950819672
"Csb","GPP lat",9.42622950819672
"Cwa","GPP lat",2.45901639344262
"Dfb","GPP lat",19.672131147541
"Dfc","GPP lat",15.5737704918033
"Dwa","GPP lat",1.22950819672131
"Dwb","GPP lat",2.04918032786885
"ET","GPP lat",7.37704918032787
"Af","NPP lat",24.390243902439
"Am","NPP lat",2.4390243902439
"As","NPP lat",1.21951219512195
"Cfa","NPP lat",10.9756097560976
"Cfb","NPP lat",21.9512195121951
"Csb","NPP lat",13.4146341463415
"Cwa","NPP lat",2.4390243902439
"Dfb","NPP lat",3.65853658536585
"Dfc","NPP lat",19.5121951219512
"Af","BNPP_root lat",23.9583333333333
"Am","BNPP_root lat",6.25
"As","BNPP_root lat",2.08333333333333
"Aw","BNPP_root lat",4.16666666666667
"Cfa","BNPP_root lat",9.375
"Cfb","BNPP_root lat",18.75
"Csb","BNPP_root lat",13.5416666666667
"Cwa","BNPP_root lat",2.08333333333333
"Dfb","BNPP_root lat",5.20833333333333
"Dfc","BNPP_root lat",14.5833333333333
"Af","BNPP_root_fine lat",29.2682926829268
"Am","BNPP_root_fine lat",8.53658536585366
"As","BNPP_root_fine lat",4.8780487804878
"Aw","BNPP_root_fine lat",2.4390243902439
"Cfa","BNPP_root_fine lat",6.09756097560976
"Cfb","BNPP_root_fine lat",18.2926829268293
"Csb","BNPP_root_fine lat",12.1951219512195
"Cwa","BNPP_root_fine lat",1.21951219512195
"Dfb","BNPP_root_fine lat",1.21951219512195
"Dfc","BNPP_root_fine lat",15.8536585365854
"Af","GPP AnnualMeanTemp",10.2459016393443
"Am","GPP AnnualMeanTemp",5.73770491803279
"Aw","GPP AnnualMeanTemp",3.68852459016393
"Cfa","GPP AnnualMeanTemp",3.27868852459016
"Cfb","GPP AnnualMeanTemp",19.2622950819672
"Csb","GPP AnnualMeanTemp",9.42622950819672
"Cwa","GPP AnnualMeanTemp",2.45901639344262
"Dfb","GPP AnnualMeanTemp",19.672131147541
"Dfc","GPP AnnualMeanTemp",15.5737704918033
"Dwa","GPP AnnualMeanTemp",1.22950819672131
"Dwb","GPP AnnualMeanTemp",2.04918032786885
"ET","GPP AnnualMeanTemp",7.37704918032787
"Af","NPP AnnualMeanTemp",24.390243902439
